['p12', '00:43:51', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p12', '00:43:52', 'repaintBg', 'log scale', 'true', 'Sensemaking']
['p12', '00:43:52', 'repaintFg', 'log scale', 'true', 'Sensemaking']
['p12', '00:43:55', 'range select', 'bar-5', '5-13-13-1_', 'Sensemaking']
['p12', '00:43:56', 'range select', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p12', '00:43:57', 'range select', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p12', '00:43:58', 'range select', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p12', '00:43:58', 'range select', 'bar-5', '5-14-14-1_', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '18', '-2', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '12', '-1', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '9', '-1', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '10', '-1', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '10', '0', 'Sensemaking']
['p12', '00:44:01', 'pan', 'geo-0-1', '11', '0', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '2', '-4', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '8', '-7', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '14', '-11', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '9', '-6', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '13', '-7', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '10', '-6', 'Sensemaking']
['p12', '00:44:02', 'pan', 'geo-0-1', '4', '-3', 'Sensemaking']
