['p13', '00:00:00', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-10-10-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-6-6-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-0-0-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-5-5-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-7-7-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-11-11-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p13', '00:00:00', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-4', '4-3-3-0_', 'Sensemaking']
['p13', '00:00:00', 'brush', 'hist-4', '4-10-10-0_', 'Sensemaking']
['p13', '00:00:01', 'brush', 'hist-4', '4-18-18-0_', 'Sensemaking']
['p13', '00:00:01', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:07', 'brush', 'hist-4', '4-20-20-0_', 'Sensemaking']
['p13', '00:00:07', 'brush', 'hist-4', '4-18-18-0_', 'Sensemaking']
['p13', '00:00:07', 'brush', 'hist-4', '4-16-16-0_', 'Sensemaking']
['p13', '00:00:07', 'brush', 'hist-4', '4-15-15-0_', 'Sensemaking']
['p13', '00:00:08', 'brush', 'hist-4', '4-14-14-0_', 'Sensemaking']
['p13', '00:00:08', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:08', 'brush', 'bar-5', '5-29-29-1_', 'Sensemaking']
['p13', '00:00:08', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '3', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-2', '4', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-3', '6', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-2', '5', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-3', '6', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-3', '4', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-2', '6', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-5', '7', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-7', '8', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-4', '4', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-3', '4', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-4', '2', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-2', '2', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '-3', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-2', '-4', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '-7', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '-2', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:11', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-1', '-2', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p13', '00:00:12', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
