['p13', '00:02:06', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p13', '00:02:06', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-6x1-1280-1535-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-6x1-1536-1791-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-256-511-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-512-767-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-1280-1535-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-768-1023-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-1024-1279-6x1-1024-1279-6x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-256-511-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-0-255-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-768-1023-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-1024-1279-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-512-767-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:06', 'tile cached', 'undefined', '0-1280-1535-4x1-1024-1279-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'pan', 'geo-0-1', '1886', '-378', 'Question / Hypothesis']
['p13', '00:02:07', 'zoom', 'geo-0-1', '3', 'Question / Hypothesis']
['p13', '00:02:07', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-256-511-4x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-256-511-4x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-256-511-4x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-4x1-256-511-4x2-0-11-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-256-511-4x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-4x1-256-511-4x3-0-30-0', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-1792-2047-4x1-256-511-4x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-0-255-4x1-256-511-4x5-0-29-1', 'Question / Hypothesis']
['p13', '00:02:07', 'tile cached', 'undefined', '0-256-511-4x1-256-511-4x4-0-23-0', 'Question / Hypothesis']
