['p13', '00:13:29', 'zoom', 'geo-0-1', '8', 'Sensemaking']
['p13', '00:13:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-14080-14335-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-14080-14335-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-7168-7423-9x1-14080-14335-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-13312-13567-8x1-28160-28415-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-13312-13567-8x1-28416-28671-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-14080-14335-9x2-0-11-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-7168-7423-9x1-14080-14335-9x2-0-11-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-14080-14335-9x3-0-30-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-14080-14335-9x3-0-30-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-7168-7423-9x1-14080-14335-9x3-0-30-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-14080-14335-9x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-14080-14335-9x2-0-11-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-7168-7423-9x1-14080-14335-9x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-14080-14335-9x5-0-29-1', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-13312-13567-9x1-28416-28671-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-13312-13567-9x1-28160-28415-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'pan', 'geo-0-1', '-3514', '-7106', 'Sensemaking']
['p13', '00:13:29', 'zoom', 'geo-0-1', '7', 'Sensemaking']
['p13', '00:13:29', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3072-3327-8x1-6912-7167-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3072-3327-8x1-7168-7423-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3328-3583-8x1-6912-7167-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3584-3839-8x1-6912-7167-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3328-3583-8x1-7168-7423-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-3584-3839-8x1-7168-7423-8x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6400-6655-9x1-13824-14079-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6400-6655-9x1-14080-14335-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6400-6655-9x1-14336-14591-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-13824-14079-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-13824-14079-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6656-6911-9x1-14336-14591-9x4-0-23-0', 'Sensemaking']
['p13', '00:13:29', 'tile cached', 'undefined', '0-6912-7167-9x1-14336-14591-9x4-0-23-0', 'Sensemaking']
