['p16', '00:31:49', 'brush', 'hist-3', '3-15-15-0_', 'Question / Hypothesis']
['p16', '00:31:49', 'clear', 'undefined', 'undefined', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-20-20-0_', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-19-19-0_', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-17-17-0_', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-16-16-0_', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-15-15-0_', 'Drill-Down']
['p16', '00:31:52', 'brush', 'hist-4', '4-14-14-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-13-13-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-12-12-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-11-11-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-10-10-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-9-9-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-8-8-0_', 'Drill-Down']
['p16', '00:31:54', 'brush', 'hist-4', '4-7-7-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-6-6-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-5-5-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-4-4-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-3-3-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-4-4-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-5-5-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-6-6-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-7-7-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-8-8-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-9-9-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-12-12-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-13-13-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-14-14-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-15-15-0_', 'Drill-Down']
['p16', '00:31:55', 'brush', 'hist-4', '4-16-16-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-17-17-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-18-18-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-19-19-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-20-20-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-21-21-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-20-20-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-19-19-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-18-18-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-17-17-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-16-16-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-15-15-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-14-14-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-13-13-0_', 'Drill-Down']
['p16', '00:31:56', 'brush', 'hist-4', '4-12-12-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-13-13-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-14-14-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-15-15-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-16-16-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-17-17-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-18-18-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-19-19-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-20-20-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-19-19-0_', 'Drill-Down']
['p16', '00:31:57', 'brush', 'hist-4', '4-18-18-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-16-16-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-14-14-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-12-12-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-10-10-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-8-8-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-4', '4-2-2-0_', 'Drill-Down']
['p16', '00:31:58', 'clear', 'undefined', 'undefined', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-3', '3-30-30-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-3', '3-29-29-0_', 'Drill-Down']
['p16', '00:31:58', 'brush', 'hist-3', '3-27-27-0_', 'Drill-Down']
['p16', '00:31:59', 'brush', 'hist-3', '3-26-26-0_', 'Question / Hypothesis']
