['p16', '00:57:15', 'brush', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-7-7-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-6-6-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-5-5-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:15', 'brush', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p16', '00:57:16', 'brush', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p16', '00:57:16', 'brush', 'bar-5', '5-0-0-1_', 'Sensemaking']
['p16', '00:57:18', 'brush', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p16', '00:57:20', 'brush', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p16', '00:57:20', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:20', 'brush', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p16', '00:57:20', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-5-5-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-6-6-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-7-7-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p16', '00:57:24', 'brush', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-14-14-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-15-15-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-16-16-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-17-17-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-18-18-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-19-19-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-20-20-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-23-23-1_', 'Sensemaking']
['p16', '00:57:25', 'brush', 'bar-5', '5-28-28-1_', 'Sensemaking']
['p16', '00:57:25', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-28-28-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-26-26-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-24-24-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-22-22-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-20-20-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-18-18-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-16-16-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-15-15-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-13-13-1_', 'Sensemaking']
['p16', '00:57:28', 'brush', 'bar-5', '5-11-11-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-6-6-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p16', '00:57:29', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p16', '00:57:29', 'brush', 'bar-5', '5-0-0-1_', 'Sensemaking']
['p16', '00:57:32', 'brush', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p16', '00:57:34', 'brush', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p16', '00:57:35', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p16', '00:57:36', 'brush', 'bar-5', '5-4-4-1_', 'Question / Hypothesis']
['p16', '00:57:38', 'brush', 'bar-5', '5-5-5-1_', 'Question / Hypothesis']
['p16', '00:57:38', 'brush', 'bar-5', '5-6-6-1_', 'Question / Hypothesis']
['p16', '00:57:40', 'brush', 'bar-5', '5-7-7-1_', 'Question / Hypothesis']
['p16', '00:57:41', 'brush', 'bar-5', '5-8-8-1_', 'Question / Hypothesis']
['p16', '00:57:42', 'brush', 'bar-5', '5-9-9-1_', 'Question / Hypothesis']
['p16', '00:57:43', 'brush', 'bar-5', '5-10-10-1_', 'Question / Hypothesis']
['p16', '00:57:44', 'brush', 'bar-5', '5-11-11-1_', 'Question / Hypothesis']
['p16', '00:57:51', 'brush', 'bar-5', '5-12-12-1_', 'Question / Hypothesis']
['p16', '00:57:54', 'brush', 'bar-5', '5-13-13-1_', 'Question / Hypothesis']
['p16', '00:57:55', 'brush', 'bar-5', '5-14-14-1_', 'Question / Hypothesis']
['p16', '00:58:16', 'brush', 'bar-5', '5-15-15-1_', 'Question / Hypothesis']
['p16', '00:58:18', 'brush', 'bar-5', '5-16-16-1_', 'Question / Hypothesis']
['p16', '00:58:20', 'brush', 'bar-5', '5-17-17-1_', 'Question / Hypothesis']
['p16', '00:58:24', 'brush', 'bar-5', '5-18-18-1_', 'Question / Hypothesis']
['p16', '00:58:26', 'brush', 'bar-5', '5-19-19-1_', 'Question / Hypothesis']
['p16', '00:58:28', 'brush', 'bar-5', '5-20-20-1_', 'Question / Hypothesis']
['p16', '00:58:31', 'brush', 'bar-5', '5-21-21-1_', 'Question / Hypothesis']
['p16', '00:58:31', 'brush', 'bar-5', '5-22-22-1_', 'Question / Hypothesis']
['p16', '00:58:31', 'brush', 'bar-5', '5-21-21-1_', 'Question / Hypothesis']
['p16', '00:58:32', 'brush', 'bar-5', '5-22-22-1_', 'Question / Hypothesis']
['p16', '00:58:34', 'brush', 'bar-5', '5-23-23-1_', 'Question / Hypothesis']
['p16', '00:59:11', 'brush', 'bar-5', '5-24-24-1_', 'Question / Hypothesis']
['p16', '00:59:13', 'brush', 'bar-5', '5-25-25-1_', 'Question / Hypothesis']
['p16', '00:59:15', 'brush', 'bar-5', '5-26-26-1_', 'Question / Hypothesis']
['p16', '00:59:16', 'brush', 'bar-5', '5-27-27-1_', 'Question / Hypothesis']
['p16', '00:59:20', 'brush', 'bar-5', '5-28-28-1_', 'Question / Hypothesis']
['p16', '00:59:21', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p16', '00:59:23', 'brush', 'bar-5', '5-29-29-1_', 'Question / Hypothesis']
['p16', '00:59:27', 'brush', 'bar-5', '5-28-28-1_', 'Question / Hypothesis']
['p16', '00:59:27', 'brush', 'bar-5', '5-27-27-1_', 'Question / Hypothesis']
['p16', '00:59:28', 'brush', 'bar-5', '5-28-28-1_', 'Question / Hypothesis']
['p16', '00:59:28', 'brush', 'bar-5', '5-29-29-1_', 'Question / Hypothesis']
['p16', '00:59:28', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p16', '00:59:38', 'brush', 'bar-5', '5-29-29-1_', 'Question / Hypothesis']
['p16', '00:59:38', 'brush', 'bar-5', '5-27-27-1_', 'Question / Hypothesis']
['p16', '00:59:39', 'brush', 'bar-5', '5-24-24-1_', 'Question / Hypothesis']
['p16', '00:59:39', 'brush', 'bar-5', '5-20-20-1_', 'Question / Hypothesis']
['p16', '00:59:39', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
