['p17', '00:19:13', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '7', '4', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '9', '5', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '8', '4', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '9', '5', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '9', '3', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '23', '5', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p17', '00:19:13', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '4', '-2', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '5', '-2', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:14', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '5', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '6', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '6', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '7', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '3', '-2', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:15', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
