['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '0', 'Question / Hypothesis']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '5', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '4', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '2', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '3', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '1', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '2', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '3', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '4', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '10', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '2', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-2', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-2', '1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-18', '1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-8', '1', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-11', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-3', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '0', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-2', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-10', '-2', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-14', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-14', '-2', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-13', '-2', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-12', '-3', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-24', '-5', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-4', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-13', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-2', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-4', '-2', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-7', '-4', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-9', '-6', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '0', '-1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '1', '0', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '3', '1', 'Drill-Down']
['p4', '00:22:44', 'pan', 'geo-0-1', '6', '2', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '11', '2', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '15', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '34', '4', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '11', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '8', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '7', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '16', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '6', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '7', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '4', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '10', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '5', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '10', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '31', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '17', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '19', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '19', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '16', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '-476', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '1', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '6', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Drill-Down']
['p4', '00:22:45', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '2', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '3', '2', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '2', '2', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '2', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '1', '1', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:46', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '-2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '-3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '-2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '-2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '-1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-1', '4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-4', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-5', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '503', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-7', '-3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-8', '-4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '-4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '-2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '-1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '-1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '2', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '1', '2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '2', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-3', '1', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-4', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-18', '-8', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '-2', '-3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '0', '-4', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '3', '-3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '6', '-3', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '25', '0', 'Drill-Down']
['p4', '00:22:47', 'pan', 'geo-0-1', '5', '3', 'Drill-Down']
['p4', '00:22:48', 'pan', 'geo-0-1', '2', '1', 'Drill-Down']
['p4', '00:22:48', 'pan', 'geo-0-1', '-511', '2', 'Drill-Down']
