['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11230-9_1-26147-26149-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11235-9_1-26147-26153-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11243-9_1-26147-26157-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11245-9_1-26147-26158-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11245-9_1-26147-26159-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11227-11246-9_1-26147-26159-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11223-9_1-26154-26155-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11225-9_1-26154-26158-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11227-9_1-26154-26160-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11229-9_1-26154-26162-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11231-9_1-26154-26166-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11234-9_1-26154-26169-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11238-9_1-26154-26172-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11240-9_1-26154-26174-9_', 'Question / Hypothesis']
['p4', '00:32:27', 'range select', 'geo-0-1', '0-11222-11241-9_1-26154-26174-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11196-9_1-26166-26166-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11197-9_1-26166-26167-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11198-9_1-26166-26169-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11201-9_1-26166-26171-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11212-9_1-26166-26178-9_', 'Question / Hypothesis']
['p4', '00:32:29', 'range select', 'geo-0-1', '0-11195-11216-9_1-26166-26180-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11196-9_1-26174-26175-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11198-9_1-26174-26176-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11200-9_1-26174-26179-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11203-9_1-26174-26182-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11206-9_1-26174-26185-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11209-9_1-26174-26186-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11211-9_1-26174-26188-9_', 'Question / Hypothesis']
['p4', '00:32:32', 'range select', 'geo-0-1', '0-11196-11212-9_1-26174-26189-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11211-9_1-26163-26164-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11212-9_1-26163-26165-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11215-9_1-26163-26168-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11224-9_1-26163-26176-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11229-9_1-26163-26179-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11210-11232-9_1-26163-26181-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11217-9_1-26160-26160-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11220-9_1-26160-26162-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11226-9_1-26160-26165-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11236-9_1-26160-26170-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11240-9_1-26160-26170-9_', 'Question / Hypothesis']
['p4', '00:32:33', 'range select', 'geo-0-1', '0-11216-11242-9_1-26160-26171-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11238-9_1-26145-26146-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11240-9_1-26146-26146-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11243-9_1-26146-26149-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11247-9_1-26146-26151-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11252-9_1-26146-26154-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11237-11255-9_1-26146-26156-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11233-9_1-26143-26143-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11234-9_1-26143-26144-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11235-9_1-26143-26147-9_', 'Question / Hypothesis']
['p4', '00:32:34', 'range select', 'geo-0-1', '0-11233-11237-9_1-26143-26149-9_', 'Question / Hypothesis']
