['p5', '00:03:39', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:03:42', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p5', '00:03:42', 'brush', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p5', '00:03:42', 'brush', 'bar-5', '5-2-2-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-4-4-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-6-6-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-7-7-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-11-11-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-13-13-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-14-14-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-15-15-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-16-16-1_', 'Sensemaking']
['p5', '00:03:43', 'brush', 'bar-5', '5-17-17-1_', 'Sensemaking']
['p5', '00:03:44', 'brush', 'bar-5', '5-16-16-1_', 'Sensemaking']
['p5', '00:03:44', 'brush', 'bar-5', '5-15-15-1_', 'Sensemaking']
['p5', '00:03:44', 'brush', 'bar-5', '5-14-14-1_', 'Sensemaking']
['p5', '00:03:44', 'brush', 'bar-5', '5-13-13-1_', 'Sensemaking']
['p5', '00:03:44', 'brush', 'bar-5', '5-12-12-1_', 'Sensemaking']
['p5', '00:03:45', 'brush', 'bar-5', '5-11-11-1_', 'Sensemaking']
['p5', '00:03:45', 'brush', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p5', '00:03:45', 'brush', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p5', '00:03:45', 'brush', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p5', '00:03:56', 'range select', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p5', '00:04:00', 'repaintBg', 'log scale', 'true', 'Sensemaking']
['p5', '00:04:00', 'repaintFg', 'log scale', 'true', 'Sensemaking']
['p5', '00:04:08', 'range select', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p5', '00:04:11', 'range select', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p5', '00:04:17', 'range select', 'bar-5', '5-19-19-1_', 'Sensemaking']
['p5', '00:04:25', 'range select', 'bar-5', '5-9-9-1_', 'Sensemaking']
['p5', '00:04:27', 'range select', 'bar-5', '5-8-8-1_', 'Sensemaking']
['p5', '00:04:27', 'range select', 'bar-5', '5-3-3-1_', 'Sensemaking']
['p5', '00:04:30', 'repaintBg', 'log scale', 'false', 'Sensemaking']
['p5', '00:04:30', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:04:32', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '3', '2', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '7', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '10', '0', 'Sensemaking']
['p5', '00:04:43', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '2', '-2', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:04:44', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '2', '-8', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '0', '-3', 'Sensemaking']
['p5', '00:04:45', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '2', '-3', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '-3', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '2', '-4', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '-2', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:04:46', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
