['p8', '00:37:46', 'brush', 'hist-4', '4-22-22-0_', 'Exploration']
['p8', '00:37:46', 'brush', 'hist-4', '4-20-20-0_', 'Exploration']
['p8', '00:37:46', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-6', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-10', '1', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-9', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-17', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-8', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-16', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-4', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-19', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-18', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-10', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-12', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-7', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-6', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '20', '-1', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '15', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '16', '-1', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '8', '0', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '8', '-2', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '30', '-4', 'Exploration']
['p8', '00:37:48', 'pan', 'geo-0-1', '14', '-3', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '20', '-7', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:49', 'tile cached', 'undefined', '0-768-1023-5x1-1280-1535-5x4-0-23-0', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '1', '-2', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '2', '-2', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '11', '-9', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '6', '-4', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '10', '-8', 'Exploration']
['p8', '00:37:49', 'tile cached', 'undefined', '0-1536-1791-5x1-1024-1279-5x4-0-23-0', 'Exploration']
['p8', '00:37:49', 'tile cached', 'undefined', '0-1792-2047-5x1-1024-1279-5x4-0-23-0', 'Exploration']
['p8', '00:37:49', 'tile cached', 'undefined', '0-2048-2303-5x1-1024-1279-5x4-0-23-0', 'Exploration']
['p8', '00:37:49', 'tile cached', 'undefined', '0-2304-2559-5x1-1024-1279-5x4-0-23-0', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '5', '-5', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '8', '-6', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '8', '-8', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '4', '-4', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '4', '-6', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '4', '-11', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '3', '-7', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '1', '-3', 'Exploration']
['p8', '00:37:49', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '27', '5', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '16', '9', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '5', '5', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '3', '3', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p8', '00:37:50', 'pan', 'geo-0-1', '1', '0', 'Exploration']
