['p8', '00:39:29', 'repaintFg', 'color slider', '910-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '1287-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '1287-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '1665-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '1665-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '2420-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '2420-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '3175-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '3175-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '3553-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '3553-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '4308-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '4308-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '5063-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '5063-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '8461-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '8461-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '10349-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '10349-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '12993-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '12993-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '14881-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '14881-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '18279-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '18279-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '22055-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '22055-227312', 'Exploration']
['p8', '00:39:29', 'repaintBg', 'color slider', '24698-227312', 'Exploration']
['p8', '00:39:29', 'repaintFg', 'color slider', '24698-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '27341-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '27341-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '28851-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '28851-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '31872-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '31872-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '34893-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '34893-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '36781-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '36781-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '38669-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '38669-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '39802-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '39802-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '42067-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '42067-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '43955-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '43955-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '46598-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '46598-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '51129-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '51129-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '53017-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '53017-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '54905-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '54905-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '56416-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '56416-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '59059-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '59059-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '60569-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '60569-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '61324-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '61324-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '61702-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '61702-227312', 'Exploration']
['p8', '00:39:30', 'repaintBg', 'color slider', '62080-227312', 'Exploration']
['p8', '00:39:30', 'repaintFg', 'color slider', '62080-227312', 'Exploration']
['p8', '00:39:32', 'repaintBg', 'color slider', '62593-227312', 'Exploration']
['p8', '00:39:32', 'repaintFg', 'color slider', '62593-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '63348-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '63348-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '63726-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '63726-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '64103-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '64103-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '65236-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '65236-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '65991-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '65991-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '66369-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '66369-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '66746-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '66746-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '67502-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '67502-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '70145-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '70145-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '74676-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '74676-227312', 'Exploration']
['p8', '00:39:33', 'repaintBg', 'color slider', '80717-227312', 'Exploration']
['p8', '00:39:33', 'repaintFg', 'color slider', '80717-227312', 'Exploration']
