['p9', '00:00:20', 'clear', 'undefined', 'undefined', 'Exploration']
['p9', '00:01:05', 'brush', 'bar-5', '5-21-21-1_', 'Drill-Down']
['p9', '00:01:05', 'brush', 'bar-5', '5-20-20-1_', 'Sensemaking']
['p9', '00:01:05', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:01:10', 'brush', 'bar-5', '5-0-0-1_', 'Sensemaking']
['p9', '00:01:10', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:01:12', 'brush', 'bar-5', '5-0-0-1_', 'Sensemaking']
['p9', '00:01:14', 'range select', 'bar-5', '5-0-0-1_', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-2', '2', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-3', '2', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-3', '4', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-4', '4', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '2', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-3', '3', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:18', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '-3', '2', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '3', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '3', '3', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '5', '1', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p9', '00:01:19', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p9', '00:01:20', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p9', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
