['p9', '00:04:29', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '-15', '12', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:29', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '2', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:30', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '-1', '2', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '-1', '3', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '-1', '2', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:31', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p9', '00:04:32', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p9', '00:04:44', 'pan', 'geo-0-1', '-3', '-4', 'Exploration']
['p9', '00:04:44', 'pan', 'geo-0-1', '-4', '-6', 'Exploration']
['p9', '00:04:45', 'pan', 'geo-0-1', '-24', '-24', 'Exploration']
['p9', '00:04:45', 'pan', 'geo-0-1', '-2', '-2', 'Exploration']
['p9', '00:04:45', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p9', '00:04:45', 'pan', 'geo-0-1', '-3', '-4', 'Exploration']
['p9', '00:04:45', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
