['p9', '00:05:18', 'range select', 'bar-5', '5-10-10-1_', 'Sensemaking']
['p9', '00:05:22', 'range select', 'bar-5', '5-10-11-1_', 'Question / Hypothesis']
['p9', '00:05:22', 'range select', 'bar-5', '5-10-12-1_', 'Question / Hypothesis']
['p9', '00:05:23', 'range select', 'bar-5', '5-10-13-1_', 'Question / Hypothesis']
['p9', '00:05:23', 'range select', 'bar-5', '5-10-14-1_', 'Question / Hypothesis']
['p9', '00:05:23', 'range select', 'bar-5', '5-10-15-1_', 'Question / Hypothesis']
['p9', '00:05:23', 'range select', 'bar-5', '5-10-16-1_', 'Question / Hypothesis']
['p9', '00:05:23', 'range select', 'bar-5', '5-10-15-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-10-14-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-10-13-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-10-12-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-10-11-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-10-10-1_', 'Question / Hypothesis']
['p9', '00:05:24', 'range select', 'bar-5', '5-9-10-1_', 'Question / Hypothesis']
['p9', '00:05:25', 'range select', 'bar-5', '5-10-11-1_', 'Question / Hypothesis']
['p9', '00:05:25', 'range select', 'bar-5', '5-10-10-1_', 'Question / Hypothesis']
['p9', '00:05:26', 'range select', 'bar-5', '5-10-11-1_', 'Question / Hypothesis']
['p9', '00:05:26', 'range select', 'bar-5', '5-10-12-1_', 'Question / Hypothesis']
['p9', '00:05:27', 'range select', 'bar-5', '5-10-13-1_', 'Question / Hypothesis']
['p9', '00:05:28', 'range select', 'bar-5', '5-10-14-1_', 'Question / Hypothesis']
['p9', '00:05:28', 'range select', 'bar-5', '5-10-15-1_', 'Question / Hypothesis']
['p9', '00:05:29', 'range select', 'bar-5', '5-10-16-1_', 'Question / Hypothesis']
['p9', '00:05:30', 'range select', 'bar-5', '5-10-17-1_', 'Question / Hypothesis']
['p9', '00:05:30', 'range select', 'bar-5', '5-10-18-1_', 'Question / Hypothesis']
['p9', '00:05:30', 'range select', 'bar-5', '5-10-19-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-20-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-21-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-22-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-23-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-24-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-25-1_', 'Question / Hypothesis']
['p9', '00:05:31', 'range select', 'bar-5', '5-10-26-1_', 'Question / Hypothesis']
['p9', '00:05:32', 'range select', 'bar-5', '5-10-27-1_', 'Question / Hypothesis']
['p9', '00:05:32', 'range select', 'bar-5', '5-10-28-1_', 'Question / Hypothesis']
['p9', '00:05:32', 'range select', 'bar-5', '5-10-29-1_', 'Question / Hypothesis']
['p9', '00:05:33', 'range select', 'bar-5', '5-10-30-1_', 'Exploration']
['p9', '00:06:13', 'clear', 'undefined', 'undefined', 'Exploration']
['p9', '00:06:16', 'brush', 'hist-4', '4-24-24-0_', 'Drill-Down']
['p9', '00:06:16', 'brush', 'hist-4', '4-21-21-0_', 'Sensemaking']
['p9', '00:06:16', 'brush', 'hist-4', '4-19-19-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-16-16-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-14-14-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-12-12-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-11-11-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-10-10-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-7-7-0_', 'Question / Hypothesis']
['p9', '00:06:16', 'brush', 'hist-4', '4-6-6-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-7-7-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-8-8-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-9-9-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-10-10-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-11-11-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-12-12-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-13-13-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-14-14-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-15-15-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-16-16-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-17-17-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-18-18-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-19-19-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-20-20-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-21-21-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-22-22-0_', 'Question / Hypothesis']
['p9', '00:06:17', 'brush', 'hist-4', '4-23-23-0_', 'Question / Hypothesis']
