User,State,Time Spent(seconds),Rewards Gained
p12,Sensemaking,6,0.75
p12,Question,5,0
p12,Sensemaking,18,0.75
p12,Question,33,0.25
p12,Sensemaking,155,12.25
p12,Question,45,0.25
p12,Sensemaking,29,3.25
p12,Question,24,0
p12,Sensemaking,74,3
p12,Question,5,0
p12,Sensemaking,5,0
p12,Question,194,0.25
p12,Sensemaking,67,2.25
p12,Question,25,0.25
p12,Sensemaking,95,1.25
p12,Question,45,1
p12,Sensemaking,64,5
p12,Question,28,0
p12,Interface-feedback,79,0
p12,Question,20,0.25
p12,Sensemaking,109,4
p12,Question,56,0.25
p12,Sensemaking,485,52.25
p13,Sensemaking,94,6
p13,Question,16,0.25
p13,Sensemaking,16,2.25
p13,Question,9,0.25
p13,Sensemaking,106,0.5
p13,Question,1,0
p13,Sensemaking,1,0
p13,Question,1,0.25
p13,Sensemaking,1,0.25
p13,Question,180,0
p13,Sensemaking,12,0.25
p13,Question,3,0
p13,Sensemaking,1,0
p13,Interface-feedback,1,0
p13,Question,7,0.25
p13,Sensemaking,124,3.5
p13,Question,15,0
p13,Sensemaking,32,1
p13,Question,1,0
p13,Sensemaking,76,0.5
p13,Question,1,0
p13,Interface-feedback,1,0
p13,Question,1,0
p13,Interface-feedback,1,0
p13,Question,53,0.25
p13,Sensemaking,1,0
p13,Question,49,0.25
p13,Sensemaking,156,36.75
p13,Question,2,0
p13,Sensemaking,4,0
p13,Question,1,0.5
p13,Sensemaking,74,2
p13,Question,9,0
p13,Sensemaking,120,2.25
p13,Question,1,0
p13,Interface-feedback,3,0
p13,Sensemaking,132,1.5
p13,Question,3,0
p13,Interface-feedback,8,0.25
p13,Sensemaking,49,3
p13,Question,49,0
p13,Sensemaking,81,12.5
p16,Question,3,0.25
p16,Sensemaking,15,0.5
p16,Question,1,0.25
p16,Sensemaking,99,2.5
p16,Interface-feedback,118,0
p16,Sensemaking,1,0
p16,Question,61,1
p16,Sensemaking,18,2
p16,Question,6,0
p16,Sensemaking,106,1
p16,Question,21,0.25
p16,Sensemaking,1,0
p16,Question,34,0
p16,Interface-feedback,36,0
p16,Question,95,0.25
p16,Sensemaking,289,8.25
p16,Question,19,0
p16,Sensemaking,33,0
p16,Question,33,0.25
p16,Sensemaking,26,1.75
p16,Question,21,0
p16,Sensemaking,15,10
p16,Question,33,0
p16,Sensemaking,96,3.25
p16,Question,55,0.5
p16,Sensemaking,17,0.25
p16,Question,1,0
p16,Sensemaking,192,2.25
p16,Question,95,1
p16,Sensemaking,131,3
p17,Question,58,0
p17,Sensemaking,248,0.25
p17,Interface-feedback,7,0
p17,Sensemaking,207,2.75
p17,Question,10,0.25
p17,Sensemaking,56,2.25
p17,Question,4,0.25
p17,Sensemaking,38,4.75
p17,Question,145,0
p17,Sensemaking,9,0.75
p17,Question,23,0
p17,Sensemaking,34,4
p17,Question,20,0
p17,Sensemaking,49,1
p17,Question,40,0.75
p17,Sensemaking,9,0.25
p17,Question,41,0
p17,Sensemaking,201,19.25
p17,Question,22,0.5
p17,Sensemaking,85,0
p17,Question,122,1
p17,Sensemaking,31,2
p17,Question,111,1
p17,Sensemaking,137,1.25
p4,Question,4,0.25
p4,Sensemaking,1,0
p4,Question,1,0
p4,Interface-feedback,4,0
p4,Question,9,0.25
p4,Sensemaking,31,0
p4,Question ,1,0
p4,Question,39,0
p4,Interface-feedback,39,0
p4,Sensemaking,2,0
p4,Interface-feedback,19,0
p4,Sensemaking,29,5
p4,Question,23,1
p4,Sensemaking,47,2.75
p4,Question,1,0
p4,Sensemaking,34,1.25
p4,Question,15,0
p4,Sensemaking,116,9
p4,Interface-feedback,23,0
p4,Question,22,0.25
p4,Sensemaking,49,6.75
p4,Question,4,0
