 00:27:25, which I think would make sense if Brightkite is an American service., Exploration, 0.0,  pan,  0.02968
 00:27:25, Also centered around major metropolitan areas, like bay area, LA, west coast, Seattle, Chicago, Tokyo, , Exploration, 0.25,  zoom,  0.00014
 00:27:31, also UK. Paris.., Exploration, 0.25,  pan,  0.00625
 00:27:31, Guess they would also have the most traveler too., Exploration, 0.0,  clear,  0.00014
 00:27:31, So hour... yeah as expected, lot of peak activity in ... after work., Question, 0.25,  pan,  0.00014
 00:27:32, So are these adjusted... these are therefore adjusted right by timezone?, Question, 0.0,  clear,  0.00014
 00:27:36, Yes you would hope for more data after work hours. And not during sleeping hours., Question, 0.0,  pan,  0.00114
 00:27:36, Day... oh yeah 31 will be less, only a few months have 31 days, Sensemaking, 0.0,  zoom,  0.00014
 00:27:37, Lot of checkins in the summer,, Sensemaking, 0.25,  pan,  0.00071
 00:27:37, which would correspond with travel season., Sensemaking, 0.5,  clear,  0.00014
 00:27:37, when there's more travel to have more activity., Sensemaking, 0.0,  pan,  0.00014
 00:27:37, I myself would check in to more places when I'm in a non-native area., Sensemaking, 0.0,  clear,  0.00014
 00:27:53, I wouldn't be checking in to everything locally, , Exploration, 0.0,  pan,  0.01079
 00:27:53, in the geo scatter plot there's even some in the Antarctica., Exploration, 0.0,  zoom,  0.00014
 00:27:54, out of curiosity looking where the individual dots are., Question, 0.0,  pan,  0.00071
 00:27:55, I guess some could be in transit,, Question, 0.0,  clear,  0.00014
 00:27:55, like on a plane or on a boat,, Question, 0.0,  pan,  0.00014
 00:27:55, so you have these random individual plots in the water., Question, 0.0,  zoom,  0.00014
 00:27:59, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  pan,  0.00625
 00:27:59, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  clear,  0.00014
 00:27:59, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  brush,  0.00014
 00:27:59, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  clear,  0.00014
 00:28:01, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  brush,  0.00099
 00:28:01, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  clear,  0.00014
 00:28:01, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  brush,  0.00043
 00:28:01, Zooming into New York as an example ...  I am trying to see if I notice anything that is ... that contradicts to overall global trends that I saw., Question, 0.0,  clear,  0.00014
 00:28:27, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00966
 00:28:28, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:30, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00341
 00:28:31, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:36, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00341
 00:28:37, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:43, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00710
 00:28:43, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:43, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00099
 00:28:44, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:46, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00369
 00:28:46, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
 00:28:46, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  brush,  0.00028
 00:28:47, I don't really see anything except that certain users are more common in this area., Sensemaking, 0.25,  clear,  0.00014
