Time, Proposition, State,action,reward,visualization,subtask
so maybe these guys are taking a lot of cruises or something.,00:31:49,(Question+hist-3),brush,0.0,hist-3,1
Lots of trip.,00:31:49,(Sensemaking+undefined),clear,0.25,undefined,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:52,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:54,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:55,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:56,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:57,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+hist-4),brush,0.25,hist-4,1
Lots of trip.,00:31:58,(Sensemaking+undefined),clear,0.25,undefined,1
Lots of trip.,00:31:58,(Sensemaking+hist-3),brush,0.25,hist-3,1
Lots of trip.,00:31:58,(Sensemaking+hist-3),brush,0.25,hist-3,1
Lots of trip.,00:31:58,(Sensemaking+hist-3),brush,0.25,hist-3,1
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:31:59,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
So we're only showing data for the top 30 travelers, or we are showing all data? ,00:32:00,(Question+hist-3),brush,0.0,hist-3,2
