Time, Proposition, State,action,reward,visualization,subtask
The quote-and-quote developed world checks in a lot more,,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
and you can see hot spots in US, Japan,,00:22:42,(Sensemaking+geo-0-1),pan,0.25,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:42,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:43,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:44,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:45,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
so let’s just look at the US,that’s where I know, ,00:22:46,(Question+geo-0-1),pan,0.0,geo-0-1,1
