Time,State,action,reward,visualization
00:00:00,(Question+undefined),clear,0.0,undefined
00:00:00,(Question+bar-5),brush,0.0,bar-5
00:00:01,(Question+bar-5),range select,0.0,bar-5
00:00:15,(Question+bar-5),range select,0.0,bar-5
00:00:17,(Sensemaking+bar-5),range select,0.25,bar-5
00:00:32,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:00:33,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:00:49,(Question+geo-0-1),pan,0.0,geo-0-1
00:00:50,(Question+geo-0-1),pan,0.0,geo-0-1
00:00:51,(Question+geo-0-1),pan,0.0,geo-0-1
00:00:53,(Question+undefined),clear,0.0,undefined
00:00:53,(Question+bar-5),brush,0.0,bar-5
00:00:54,(Question+bar-5),brush,0.0,bar-5
00:00:57,(Question+geo-0-1),pan,0.0,geo-0-1
00:00:58,(Question+geo-0-1),pan,0.0,geo-0-1
00:00:59,(Question+geo-0-1),pan,0.0,geo-0-1
00:01:00,(Question+geo-0-1),pan,0.0,geo-0-1
00:01:01,(Question+geo-0-1),pan,0.0,geo-0-1
00:01:02,(Question+geo-0-1),pan,0.0,geo-0-1
00:01:04,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:05,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:06,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:07,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:08,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:10,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:11,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:12,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:13,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:14,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:15,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:16,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:20,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:21,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:22,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:29,(Question+bar-5),range select,0.0,bar-5
00:01:31,(Question+bar-5),range select,0.0,bar-5
00:01:33,(Question+bar-5),range select,0.0,bar-5
00:01:38,(Question+bar-5),range select,0.0,bar-5
00:01:47,(Question+bar-5),range select,0.0,bar-5
00:01:51,(Question+bar-5),range select,0.0,bar-5
00:01:52,(Question+geo-0-1),pan,0.0,geo-0-1
00:01:53,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:01:56,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:57,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:58,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:01:59,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:02:00,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:02:01,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:02:02,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:02:03,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:02:14,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:02:14,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:16,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:17,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:18,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:20,(Sensemaking+bar-5),range select,0.0,bar-5
00:02:25,(Sensemaking+bar-5),range select,0.0,bar-5
00:02:26,(Sensemaking+bar-5),range select,0.0,bar-5
00:02:27,(Sensemaking+bar-5),range select,0.25,bar-5
00:02:28,(Sensemaking+bar-5),range select,0.25,bar-5
00:02:30,(Sensemaking+bar-5),range select,0.25,bar-5
00:02:31,(Sensemaking+bar-5),range select,0.0,bar-5
00:02:44,(Sensemaking+bar-5),range select,0.0,bar-5
00:02:47,(Question+bar-5),range select,0.0,bar-5
00:02:49,(Question+bar-5),range select,0.0,bar-5
00:02:55,(Question+geo-0-1),pan,0.0,geo-0-1
00:02:56,(Question+geo-0-1),pan,0.0,geo-0-1
