p5,00:00:00,clear,undefined,undefined
p5,00:00:00,brush,bar-5,5-0-0-1_
p5,00:00:00,brush,bar-5,5-1-1-1_
p5,00:00:00,brush,bar-5,5-0-0-1_
p5,00:00:01,range select,bar-5,5-0-0-1_
p5,00:00:15,range select,bar-5,5-3-3-1_
p5,00:00:17,range select,bar-5,5-1-1-1_
p5,00:00:25,repaintBg,log scale,true
p5,00:00:25,repaintFg,log scale,true
p5,00:00:32,pan,geo-0-1,0,0
p5,00:00:32,pan,geo-0-1,-4,1
p5,00:00:32,pan,geo-0-1,-7,2
p5,00:00:32,pan,geo-0-1,0,1
p5,00:00:32,pan,geo-0-1,-1,0
p5,00:00:32,pan,geo-0-1,0,0
p5,00:00:32,pan,geo-0-1,0,1
p5,00:00:32,pan,geo-0-1,-1,3
p5,00:00:32,pan,geo-0-1,0,0
p5,00:00:33,pan,geo-0-1,0,1
p5,00:00:33,pan,geo-0-1,0,0
p5,00:00:49,pan,geo-0-1,0,2
p5,00:00:49,pan,geo-0-1,0,4
p5,00:00:49,pan,geo-0-1,0,9
p5,00:00:49,pan,geo-0-1,0,7
p5,00:00:49,pan,geo-0-1,-1,13
p5,00:00:49,pan,geo-0-1,-1,3
p5,00:00:49,pan,geo-0-1,0,3
p5,00:00:49,pan,geo-0-1,0,1
p5,00:00:49,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,2,-7
p5,00:00:50,pan,geo-0-1,1,-5
p5,00:00:50,pan,geo-0-1,1,-4
p5,00:00:50,pan,geo-0-1,1,-9
p5,00:00:50,pan,geo-0-1,0,-6
p5,00:00:50,pan,geo-0-1,1,-3
p5,00:00:50,pan,geo-0-1,0,-2
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,0,0
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,0,0
p5,00:00:50,pan,geo-0-1,1,0
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,1,-1
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,0,-2
p5,00:00:50,pan,geo-0-1,1,-3
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:50,pan,geo-0-1,0,-3
p5,00:00:50,pan,geo-0-1,1,-1
p5,00:00:50,pan,geo-0-1,0,-1
p5,00:00:51,pan,geo-0-1,0,0
p5,00:00:53,clear,undefined,undefined
p5,00:00:53,brush,bar-5,5-0-0-1_
p5,00:00:53,brush,bar-5,5-1-1-1_
p5,00:00:54,brush,bar-5,5-0-0-1_
p5,00:00:54,range select,bar-5,5-0-0-1_
p5,00:00:57,pan,geo-0-1,0,0
p5,00:00:57,pan,geo-0-1,-2,-1
p5,00:00:57,pan,geo-0-1,-14,-6
p5,00:00:57,pan,geo-0-1,-12,-5
p5,00:00:57,pan,geo-0-1,-9,-3
p5,00:00:57,pan,geo-0-1,-11,-3
p5,00:00:57,pan,geo-0-1,-14,-2
p5,00:00:57,pan,geo-0-1,-4,0
p5,00:00:57,pan,geo-0-1,-16,2
p5,00:00:57,pan,geo-0-1,-9,2
p5,00:00:57,pan,geo-0-1,-6,1
p5,00:00:58,pan,geo-0-1,-8,2
p5,00:00:58,pan,geo-0-1,-1,0
p5,00:00:58,pan,geo-0-1,-1,1
p5,00:00:58,pan,geo-0-1,-3,1
p5,00:00:58,pan,geo-0-1,-3,2
p5,00:00:58,pan,geo-0-1,-2,1
p5,00:00:58,pan,geo-0-1,-3,1
p5,00:00:58,pan,geo-0-1,-1,0
p5,00:00:58,pan,geo-0-1,-2,1
p5,00:00:58,pan,geo-0-1,-2,0
p5,00:00:58,pan,geo-0-1,-5,1
p5,00:00:58,pan,geo-0-1,-7,0
p5,00:00:58,pan,geo-0-1,-4,0
p5,00:00:58,pan,geo-0-1,-2,0
p5,00:00:58,pan,geo-0-1,-1,0
p5,00:00:58,pan,geo-0-1,0,0
p5,00:00:58,pan,geo-0-1,-1,0
p5,00:00:58,pan,geo-0-1,0,0
p5,00:00:59,pan,geo-0-1,1,0
p5,00:00:59,pan,geo-0-1,2,0
p5,00:00:59,pan,geo-0-1,2,-1
p5,00:00:59,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,2,-1
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,1,-1
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,2,0
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,4,0
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,2,0
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,2,0
p5,00:01:00,pan,geo-0-1,3,0
p5,00:01:00,pan,geo-0-1,1,0
p5,00:01:00,pan,geo-0-1,2,2
p5,00:01:01,pan,geo-0-1,0,0
p5,00:01:01,pan,geo-0-1,3,0
p5,00:01:01,pan,geo-0-1,2,1
p5,00:01:01,pan,geo-0-1,3,0
p5,00:01:01,pan,geo-0-1,2,1
p5,00:01:01,pan,geo-0-1,3,0
p5,00:01:01,pan,geo-0-1,2,1
p5,00:01:01,pan,geo-0-1,3,0
p5,00:01:01,pan,geo-0-1,12,2
p5,00:01:01,pan,geo-0-1,5,1
p5,00:01:01,pan,geo-0-1,5,0
p5,00:01:01,pan,geo-0-1,4,1
p5,00:01:01,pan,geo-0-1,10,2
p5,00:01:01,pan,geo-0-1,4,1
p5,00:01:02,pan,geo-0-1,2,1
p5,00:01:02,pan,geo-0-1,6,0
p5,00:01:02,pan,geo-0-1,2,1
p5,00:01:02,pan,geo-0-1,3,1
p5,00:01:02,pan,geo-0-1,2,0
p5,00:01:02,pan,geo-0-1,2,1
p5,00:01:02,pan,geo-0-1,4,0
p5,00:01:02,pan,geo-0-1,3,1
p5,00:01:02,pan,geo-0-1,4,1
p5,00:01:02,pan,geo-0-1,2,0
p5,00:01:02,pan,geo-0-1,2,1
p5,00:01:02,pan,geo-0-1,1,0
p5,00:01:02,pan,geo-0-1,0,1
p5,00:01:02,pan,geo-0-1,0,0
p5,00:01:04,pan,geo-0-1,2,0
p5,00:01:04,pan,geo-0-1,3,0
p5,00:01:04,pan,geo-0-1,4,0
p5,00:01:04,pan,geo-0-1,5,1
p5,00:01:04,pan,geo-0-1,5,0
p5,00:01:04,pan,geo-0-1,4,1
p5,00:01:04,pan,geo-0-1,5,2
p5,00:01:04,pan,geo-0-1,2,1
p5,00:01:04,pan,geo-0-1,0,2
p5,00:01:05,pan,geo-0-1,0,0
p5,00:01:06,pan,geo-0-1,1,0
p5,00:01:06,pan,geo-0-1,3,0
p5,00:01:06,pan,geo-0-1,6,0
p5,00:01:06,pan,geo-0-1,4,0
p5,00:01:06,pan,geo-0-1,5,1
p5,00:01:06,pan,geo-0-1,10,4
p5,00:01:06,pan,geo-0-1,5,2
p5,00:01:06,pan,geo-0-1,6,3
p5,00:01:06,pan,geo-0-1,1,3
p5,00:01:06,pan,geo-0-1,1,0
p5,00:01:06,pan,geo-0-1,4,2
p5,00:01:06,pan,geo-0-1,19,10
p5,00:01:06,pan,geo-0-1,5,3
p5,00:01:06,pan,geo-0-1,12,6
p5,00:01:06,pan,geo-0-1,4,3
p5,00:01:06,pan,geo-0-1,1,2
p5,00:01:07,pan,geo-0-1,1,-1
p5,00:01:07,pan,geo-0-1,2,-1
p5,00:01:07,pan,geo-0-1,3,-2
p5,00:01:07,pan,geo-0-1,5,-1
p5,00:01:07,pan,geo-0-1,3,-1
p5,00:01:07,pan,geo-0-1,8,-1
p5,00:01:07,pan,geo-0-1,5,-1
p5,00:01:07,pan,geo-0-1,1,-1
p5,00:01:07,pan,geo-0-1,2,-1
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,0,-1
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,1,-1
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,0,-1
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,0,0
p5,00:01:07,pan,geo-0-1,-511,0
p5,00:01:07,pan,geo-0-1,0,0
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,2,1
p5,00:01:07,pan,geo-0-1,1,1
p5,00:01:07,pan,geo-0-1,1,0
p5,00:01:07,pan,geo-0-1,0,1
p5,00:01:07,pan,geo-0-1,0,0
p5,00:01:07,pan,geo-0-1,0,1
p5,00:01:07,pan,geo-0-1,-2,1
p5,00:01:07,pan,geo-0-1,507,2
p5,00:01:07,pan,geo-0-1,-18,3
p5,00:01:07,pan,geo-0-1,-6,0
p5,00:01:07,pan,geo-0-1,-5,0
p5,00:01:07,pan,geo-0-1,-2,0
p5,00:01:07,pan,geo-0-1,-1,0
p5,00:01:08,pan,geo-0-1,1,0
p5,00:01:08,pan,geo-0-1,3,0
p5,00:01:08,pan,geo-0-1,4,2
p5,00:01:08,pan,geo-0-1,3,1
p5,00:01:08,pan,geo-0-1,5,4
p5,00:01:08,pan,geo-0-1,3,3
p5,00:01:08,pan,geo-0-1,1,2
p5,00:01:08,pan,geo-0-1,0,1
p5,00:01:08,pan,geo-0-1,1,1
p5,00:01:08,pan,geo-0-1,0,1
p5,00:01:08,pan,geo-0-1,0,0
p5,00:01:10,pan,geo-0-1,-3,0
p5,00:01:10,pan,geo-0-1,-7,-1
p5,00:01:10,pan,geo-0-1,-2,0
p5,00:01:10,pan,geo-0-1,-3,0
p5,00:01:10,pan,geo-0-1,-2,0
p5,00:01:10,pan,geo-0-1,-1,0
p5,00:01:10,pan,geo-0-1,-2,0
p5,00:01:10,pan,geo-0-1,-3,0
p5,00:01:10,pan,geo-0-1,-5,-2
p5,00:01:10,pan,geo-0-1,-2,-1
p5,00:01:10,pan,geo-0-1,-1,0
p5,00:01:10,pan,geo-0-1,-2,0
p5,00:01:10,pan,geo-0-1,-1,0
p5,00:01:10,pan,geo-0-1,-3,0
p5,00:01:10,pan,geo-0-1,-6,0
p5,00:01:10,pan,geo-0-1,-7,0
p5,00:01:10,pan,geo-0-1,-6,-1
p5,00:01:10,pan,geo-0-1,-4,-1
p5,00:01:11,pan,geo-0-1,-1,-1
p5,00:01:11,pan,geo-0-1,-1,0
p5,00:01:11,pan,geo-0-1,-3,0
p5,00:01:11,pan,geo-0-1,-4,0
p5,00:01:11,pan,geo-0-1,-5,0
p5,00:01:11,pan,geo-0-1,-3,1
p5,00:01:11,pan,geo-0-1,-4,0
p5,00:01:11,pan,geo-0-1,-2,1
p5,00:01:11,pan,geo-0-1,-1,0
p5,00:01:11,pan,geo-0-1,-3,0
p5,00:01:11,pan,geo-0-1,-11,0
p5,00:01:11,pan,geo-0-1,-6,-2
p5,00:01:11,pan,geo-0-1,-5,-1
p5,00:01:11,pan,geo-0-1,-3,0
p5,00:01:11,pan,geo-0-1,-2,-1
p5,00:01:11,pan,geo-0-1,-2,0
p5,00:01:12,pan,geo-0-1,0,0
p5,00:01:12,pan,geo-0-1,-7,0
p5,00:01:12,pan,geo-0-1,-4,0
p5,00:01:12,pan,geo-0-1,-10,0
p5,00:01:12,pan,geo-0-1,-3,1
p5,00:01:12,pan,geo-0-1,-2,0
p5,00:01:12,pan,geo-0-1,-1,0
p5,00:01:12,pan,geo-0-1,-1,1
p5,00:01:12,pan,geo-0-1,0,0
p5,00:01:13,pan,geo-0-1,-4,1
p5,00:01:13,pan,geo-0-1,-5,1
p5,00:01:13,pan,geo-0-1,-14,0
p5,00:01:13,pan,geo-0-1,-27,-3
p5,00:01:13,pan,geo-0-1,-19,-9
p5,00:01:13,pan,geo-0-1,-10,-3
p5,00:01:13,pan,geo-0-1,-9,-4
p5,00:01:13,pan,geo-0-1,-9,-3
p5,00:01:14,pan,geo-0-1,-4,0
p5,00:01:14,pan,geo-0-1,-1,0
p5,00:01:14,pan,geo-0-1,-2,1
p5,00:01:14,pan,geo-0-1,-2,0
p5,00:01:14,pan,geo-0-1,-2,1
p5,00:01:14,pan,geo-0-1,-1,0
p5,00:01:14,pan,geo-0-1,-2,0
p5,00:01:14,pan,geo-0-1,0,0
p5,00:01:15,pan,geo-0-1,0,-1
p5,00:01:15,pan,geo-0-1,0,-5
p5,00:01:15,pan,geo-0-1,0,-4
p5,00:01:15,pan,geo-0-1,-3,-8
p5,00:01:15,pan,geo-0-1,-3,-3
p5,00:01:15,pan,geo-0-1,-2,-1
p5,00:01:16,pan,geo-0-1,-3,0
p5,00:01:16,pan,geo-0-1,-4,0
p5,00:01:16,pan,geo-0-1,-7,0
p5,00:01:16,pan,geo-0-1,-7,-1
p5,00:01:16,pan,geo-0-1,-3,-2
p5,00:01:16,pan,geo-0-1,0,0
p5,00:01:20,pan,geo-0-1,2,0
