no, time, user, action, count_cum_action, fre_cum_action
0, 00:32:27, p8, brush, 2, 0.00088
1, 00:32:27, p8, clear, 1, 0.00044
2, 00:32:27, p8, brush, 3, 0.00132
3, 00:32:27, p8, clear, 1, 0.00044
4, 00:32:28, p8, brush, 1, 0.00044
5, 00:32:36, p8, clear, 1, 0.00044
6, 00:32:36, p8, brush, 7, 0.00307
7, 00:32:44, p8, clear, 1, 0.00044
8, 00:32:44, p8, brush, 1, 0.00044
9, 00:33:09, p8, clear, 1, 0.00044
10, 00:33:55, p8, brush, 32, 0.01405
11, 00:33:57, p8, clear, 1, 0.00044
12, 00:34:22, p8, brush, 21, 0.00922
13, 00:34:22, p8, clear, 1, 0.00044
14, 00:34:23, p8, brush, 5, 0.00220
15, 00:34:24, p8, clear, 1, 0.00044
16, 00:34:28, p8, pan, 37, 0.01625
17, 00:34:28, p8, zoom, 1, 0.00044
18, 00:34:29, p8, pan, 1, 0.00044
19, 00:34:29, p8, zoom, 1, 0.00044
20, 00:34:29, p8, pan, 1, 0.00044
21, 00:34:30, p8, clear, 1, 0.00044
22, 00:34:30, p8, brush, 3, 0.00132
23, 00:34:34, p8, clear, 1, 0.00044
24, 00:34:34, p8, brush, 1, 0.00044
25, 00:34:36, p8, clear, 1, 0.00044
26, 00:35:06, p8, brush, 23, 0.01010
27, 00:35:15, p8, clear, 1, 0.00044
28, 00:35:15, p8, pan, 1, 0.00044
29, 00:35:15, p8, zoom, 1, 0.00044
30, 00:35:16, p8, pan, 1, 0.00044
31, 00:35:16, p8, zoom, 1, 0.00044
32, 00:35:20, p8, pan, 1, 0.00044
33, 00:35:20, p8, brush, 3, 0.00132
34, 00:35:25, p8, clear, 1, 0.00044
35, 00:35:36, p8, brush, 3, 0.00132
36, 00:36:03, p8, clear, 1, 0.00044
37, 00:36:23, p8, brush, 25, 0.01098
38, 00:36:23, p8, clear, 1, 0.00044
39, 00:36:36, p8, brush, 17, 0.00747
40, 00:36:45, p8, clear, 1, 0.00044
41, 00:36:45, p8, brush, 1, 0.00044
42, 00:36:45, p8, clear, 1, 0.00044
43, 00:36:45, p8, brush, 1, 0.00044
44, 00:37:08, p8, clear, 1, 0.00044
45, 00:37:09, p8, pan, 1, 0.00044
46, 00:37:09, p8, zoom, 1, 0.00044
47, 00:37:13, p8, pan, 24, 0.01054
48, 00:37:13, p8, zoom, 1, 0.00044
49, 00:37:20, p8, pan, 24, 0.01054
50, 00:37:45, p8, range select, 49, 0.02152
51, 00:37:46, p8, clear, 1, 0.00044
52, 00:37:46, p8, brush, 1, 0.00044
53, 00:37:48, p8, clear, 1, 0.00044
54, 00:37:57, p8, pan, 80, 0.03513
55, 00:38:03, p8, range select, 59, 0.02591
56, 00:38:08, p8, pan, 52, 0.02284
57, 00:38:20, p8, range select, 43, 0.01888
58, 00:38:21, p8, clear, 1, 0.00044
59, 00:38:26, p8, pan, 75, 0.03294
60, 00:38:34, p8, range select, 39, 0.01713
61, 00:38:35, p8, clear, 1, 0.00044
62, 00:38:35, p8, brush, 1, 0.00044
63, 00:38:35, p8, clear, 1, 0.00044
64, 00:38:37, p8, brush, 1, 0.00044
65, 00:38:37, p8, clear, 1, 0.00044
66, 00:38:37, p8, brush, 1, 0.00044
67, 00:38:38, p8, clear, 1, 0.00044
68, 00:38:39, p8, pan, 1, 0.00044
69, 00:38:39, p8, zoom, 1, 0.00044
70, 00:38:39, p8, pan, 1, 0.00044
71, 00:38:39, p8, zoom, 1, 0.00044
72, 00:38:43, p8, pan, 25, 0.01098
73, 00:39:10, p8, range select, 49, 0.02152
74, 00:39:11, p8, clear, 1, 0.00044
75, 00:39:11, p8, brush, 3, 0.00132
76, 00:39:12, p8, clear, 1, 0.00044
77, 00:40:12, p8, pan, 203, 0.08915
78, 00:40:12, p8, clear, 1, 0.00044
79, 00:40:12, p8, brush, 5, 0.00220
80, 00:40:12, p8, clear, 1, 0.00044
81, 00:40:12, p8, brush, 8, 0.00351
82, 00:40:15, p8, clear, 1, 0.00044
83, 00:40:15, p8, brush, 1, 0.00044
84, 00:40:16, p8, clear, 1, 0.00044
85, 00:40:16, p8, brush, 1, 0.00044
86, 00:40:19, p8, clear, 1, 0.00044
87, 00:42:48, p8, brush, 44, 0.01932
88, 00:42:58, p8, clear, 1, 0.00044
89, 00:42:59, p8, brush, 2, 0.00088
90, 00:43:07, p8, clear, 1, 0.00044
91, 00:43:08, p8, brush, 1, 0.00044
92, 00:43:09, p8, clear, 1, 0.00044
93, 00:43:14, p8, brush, 1, 0.00044
94, 00:43:16, p8, clear, 1, 0.00044
95, 00:43:17, p8, brush, 1, 0.00044
96, 00:43:46, p8, range select, 19, 0.00834
97, 00:43:47, p8, clear, 1, 0.00044
98, 00:43:47, p8, brush, 5, 0.00220
99, 00:43:48, p8, clear, 1, 0.00044
100, 00:43:48, p8, brush, 1, 0.00044
101, 00:48:11, p8, range select, 6, 0.00264
102, 00:48:17, p8, clear, 1, 0.00044
103, 00:48:18, p8, brush, 5, 0.00220
104, 00:48:22, p8, clear, 1, 0.00044
105, 00:48:39, p8, brush, 29, 0.01274
106, 00:48:40, p8, clear, 1, 0.00044
107, 00:48:41, p8, brush, 2, 0.00088
108, 00:48:41, p8, clear, 1, 0.00044
109, 00:48:52, p8, brush, 12, 0.00527
110, 00:48:53, p8, clear, 1, 0.00044
111, 00:49:01, p8, brush, 23, 0.01010
112, 00:49:03, p8, clear, 1, 0.00044
113, 00:49:09, p8, brush, 24, 0.01054
114, 00:49:19, p8, clear, 1, 0.00044
115, 00:49:19, p8, brush, 1, 0.00044
116, 00:49:43, p8, clear, 1, 0.00044
117, 00:49:43, p8, brush, 5, 0.00220
118, 00:49:43, p8, clear, 1, 0.00044
119, 00:49:43, p8, brush, 5, 0.00220
120, 00:49:44, p8, clear, 1, 0.00044
121, 00:49:49, p8, pan, 67, 0.02942
122, 00:49:51, p8, clear, 1, 0.00044
123, 00:50:09, p8, brush, 26, 0.01142
124, 00:50:09, p8, clear, 1, 0.00044
125, 00:50:10, p8, brush, 3, 0.00132
126, 00:50:11, p8, clear, 1, 0.00044
127, 00:50:16, p8, brush, 12, 0.00527
128, 00:50:17, p8, clear, 1, 0.00044
129, 00:50:20, p8, brush, 6, 0.00264
130, 00:50:20, p8, clear, 1, 0.00044
131, 00:50:20, p8, brush, 1, 0.00044
132, 00:50:21, p8, clear, 1, 0.00044
133, 00:50:21, p8, pan, 11, 0.00483
134, 00:50:21, p8, brush, 1, 0.00044
135, 00:50:21, p8, pan, 1, 0.00044
136, 00:50:21, p8, brush, 1, 0.00044
137, 00:50:21, p8, pan, 1, 0.00044
138, 00:50:21, p8, brush, 1, 0.00044
139, 00:50:21, p8, pan, 1, 0.00044
140, 00:50:21, p8, clear, 1, 0.00044
141, 00:50:21, p8, pan, 1, 0.00044
142, 00:50:21, p8, clear, 1, 0.00044
143, 00:50:22, p8, pan, 3, 0.00132
144, 00:50:22, p8, clear, 1, 0.00044
145, 00:50:22, p8, brush, 1, 0.00044
146, 00:50:22, p8, pan, 9, 0.00395
147, 00:50:22, p8, brush, 1, 0.00044
148, 00:50:22, p8, pan, 1, 0.00044
149, 00:50:22, p8, brush, 1, 0.00044
150, 00:50:22, p8, pan, 1, 0.00044
151, 00:50:22, p8, brush, 1, 0.00044
152, 00:50:22, p8, pan, 1, 0.00044
153, 00:50:22, p8, brush, 1, 0.00044
