Time,State,action,reward,visualization,subtask
00:00:00,(Sensemaking+bar-4),brush,1.0,bar-4,1.0
00:00:39,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:06,(Question+bar-4),brush,0.0,bar-4,1.0
00:01:06,(Sensemaking+bar-4),brush,0.0,bar-4,1.0
00:01:07,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:08,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:09,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:10,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:11,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:13,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:14,(Sensemaking+bar-4),brush,0.5,bar-4,1.0
00:01:15,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:16,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:17,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:18,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:19,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:21,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:23,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:24,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:25,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:01:29,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:01:52,(Sensemaking+hist-3),brush,0.25,hist-3,1.0
00:01:53,(Sensemaking+bar-2),brush,0.25,bar-2,1.0
00:01:54,(Sensemaking+bar-2),brush,0.25,bar-2,1.0
00:01:55,(Sensemaking+bar-2),brush,0.25,bar-2,1.0
00:01:56,(Question+bar-2),brush,0.0,bar-2,1.0
00:01:57,(Question+bar-2),brush,0.0,bar-2,1.0
00:01:58,(Question+bar-2),brush,0.0,bar-2,1.0
00:01:59,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:04,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:05,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:06,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:07,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:08,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:09,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:10,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:11,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:12,(Sensemaking+bar-2),brush,0.5,bar-2,1.0
00:02:13,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:14,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:15,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:16,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:17,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:18,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:19,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:20,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:21,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:22,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:23,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:24,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:25,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:26,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:27,(Question+bar-2),brush,0.0,bar-2,1.0
00:02:28,(Question+bar-4),brush,0.0,bar-4,1.0
00:02:30,(Sensemaking+bar-4),brush,0.25,bar-4,1.0
00:02:33,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:34,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:35,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:36,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:37,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:38,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:02:39,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:03:10,(Sensemaking+bar-4),range select,0.25,bar-4,1.0
00:03:11,(Sensemaking+bar-4),range select,0.25,bar-4,1.0
00:03:14,(Sensemaking+bar-4),range select,0.25,bar-4,1.0
00:03:20,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:03:21,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,1.0
00:03:30,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:03:33,(Sensemaking+bar-4),range select,0.25,bar-4,2.0
00:03:40,(Sensemaking+scatterplot-0-1),range select,0.5,scatterplot-0-1,2.0
00:03:44,(Question+scatterplot-0-1),range select,0.0,scatterplot-0-1,2.0
00:03:45,(Question+scatterplot-0-1),range select,0.0,scatterplot-0-1,2.0
00:03:48,(Question+scatterplot-0-1),range select,0.0,scatterplot-0-1,2.0
00:03:49,(Question+scatterplot-0-1),range select,0.0,scatterplot-0-1,2.0
00:04:02,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,nan
00:04:03,(Sensemaking+scatterplot-0-1),range select,0.25,scatterplot-0-1,nan
00:04:27,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:28,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:29,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:30,(Sensemaking+bar-2),brush,0.25,bar-2,2.0
00:04:35,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:04:35,(Sensemaking+bar-2),brush,0.25,bar-2,2.0
00:04:35,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:36,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:37,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:38,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:39,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:40,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:41,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:42,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:43,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:44,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:45,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:46,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:47,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:48,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:49,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:50,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:53,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:54,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:55,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:56,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:04:56,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:04:58,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:04:59,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:00,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:01,(Sensemaking+scatterplot-0-1),zoom,0.25,scatterplot-0-1,2.0
00:05:01,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:01,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:02,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:03,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:04,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:05,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:06,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:06,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:06,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:07,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:07,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:07,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:07,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:08,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:09,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:09,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:09,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:10,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:11,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:12,(Sensemaking+hist-3),brush,0.25,hist-3,2.0
00:05:12,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:13,(Sensemaking+scatterplot-0-1),zoom,0.25,scatterplot-0-1,2.0
00:05:14,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:15,(Sensemaking+scatterplot-0-1),pan,0.25,scatterplot-0-1,2.0
00:05:17,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:18,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
00:05:19,(Sensemaking+bar-4),brush,0.25,bar-4,2.0
