Time,State,action,reward,visualization,subtask
00:31:02,(Sensemaking+bar-4),brush,0.0,bar-4,1
00:31:02,(Sensemaking+undefined),clear,0.0,undefined,1
00:31:57,(Sensemaking+scatterplot-0-1),zoom,1.0,scatterplot-0-1,1
00:31:57,(Sensemaking+undefined),tile cached,0.25,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:31:57,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:58,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+scatterplot-0-1),adjustView,0.0,scatterplot-0-1,2
00:31:58,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:59,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:59,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:59,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+undefined),clear,0.0,undefined,2
00:31:59,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+scatterplot-0-1),adjustView,0.0,scatterplot-0-1,2
00:31:59,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:00,(Sensemaking+scatterplot-0-1),zoom,0.0,scatterplot-0-1,2
00:32:00,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:00,(Sensemaking+undefined),tile cached,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:05,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:05,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:06,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:06,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:06,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:06,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:06,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:06,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:06,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:06,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:07,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:07,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:08,(Sensemaking+scatterplot-0-1),pan,0.0,scatterplot-0-1,2
00:32:08,(Sensemaking+scatterplot-0-1),adjustView,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:09,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:10,(Sensemaking+scatterplot-0-1),range select,0.0,scatterplot-0-1,2
00:32:16,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:21,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:21,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:22,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:22,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:23,(Sensemaking+undefined),clear,1.0,undefined,2
00:32:23,(Sensemaking+scatterplot-0-1),range select,1.0,scatterplot-0-1,2
00:32:57,(Sensemaking+undefined),clear,0.0,undefined,2
00:32:58,(Sensemaking+bar-2),brush,0.0,bar-2,2
00:32:58,(Sensemaking+bar-2),brush,0.0,bar-2,2
00:32:58,(Sensemaking+bar-2),brush,0.0,bar-2,2
00:32:59,(Sensemaking+bar-2),pan,0.0,bar-2,2
00:32:59,(Sensemaking+bar-2),adjustView,0.0,bar-2,2
00:32:59,(Sensemaking+bar-2),range select,0.0,bar-2,2
00:33:11,(Sensemaking+undefined),clear,0.0,undefined,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:12,(Sensemaking+undefined),clear,0.0,undefined,2
00:33:12,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:33:17,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:33:18,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:33:19,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:33:19,(Sensemaking+bar-4),brush,0.25,bar-4,2
