Time,State,action,reward,visualization,subtask,raw_actions
00:27:03,(Sensemaking+bar-4),observation,0.0,bar-4,1,brush
00:27:03,(Sensemaking+bar-4),explanation,0.0,bar-4,1,brush
00:27:03,(Sensemaking+bar-4),explanation,0.0,bar-4,1,brush
00:27:03,(Question+bar-4),steer,0.0,bar-4,1,brush
00:27:03,(Question+undefined),steer,0.0,undefined,1,clear
00:27:03,(Sensemaking+bar-2),generalization,1.0,bar-2,1,brush
00:27:03,(Sensemaking+bar-2),observation,0.0,bar-2,1,brush
00:27:03,(Sensemaking+bar-2),observation,0.0,bar-2,1,brush
00:27:03,(Question+bar-2),explanation,0.0,bar-2,1,brush
00:27:04,(Question+bar-2),steer,0.0,bar-2,2,range select
00:27:18,(Sensemaking+bar-2),generalization,1.0,bar-2,2,range select
00:27:24,(Sensemaking+bar-2),observation,0.25,bar-2,2,range select
00:27:26,(Sensemaking+bar-2),observation,0.25,bar-2,2,range select
00:27:27,(Sensemaking+bar-2),observation,0.25,bar-2,2,range select
00:27:27,(Sensemaking+bar-2),observation,0.25,bar-2,2,range select
00:27:28,(Sensemaking+bar-2),generalization,1.0,bar-2,2,range select
00:27:29,(Sensemaking+undefined),generalization,1.0,undefined,2,clear
00:27:30,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:30,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:31,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:32,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:33,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:34,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:34,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:34,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:34,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
00:27:34,(Sensemaking+bar-2),generalization,1.0,bar-2,2,brush
