Time,State,action,reward,visualization,subtask,raw_actions
00:00:00,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:09,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:10,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:11,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:14,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:17,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:18,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:19,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:20,(Question+bar-4),observation,0.0,bar-4,1,brush
00:00:20,(Question+hist-3),observation,0.0,hist-3,1,brush
00:00:21,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:22,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:23,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:24,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:25,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:26,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:29,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:31,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:32,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:32,(Question+hist-3),observation,0.0,hist-3,1,brush
00:00:37,(Question+hist-3),observation,0.0,hist-3,1,brush
00:00:38,(Question+hist-3),observation,0.0,hist-3,1,brush
00:00:40,(Question+hist-3),observation,0.0,hist-3,1,brush
00:00:42,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:44,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:45,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:46,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:47,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:48,(Question+bar-2),observation,0.0,bar-2,1,brush
00:00:51,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:52,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:53,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:54,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:55,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:56,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:57,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:58,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:00:59,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:00,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:04,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:05,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:06,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:08,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:09,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:10,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:12,(Sensemaking+bar-2),observation,0.5,bar-2,1,brush
00:01:20,(Question+bar-2),observation,0.0,bar-2,2,brush
00:01:21,(Question+bar-2),observation,0.0,bar-2,2,brush
00:01:22,(Question+bar-2),observation,0.0,bar-2,2,brush
00:01:23,(Question+bar-2),observation,0.0,bar-2,2,brush
00:01:26,(Question+bar-2),observation,0.0,bar-2,2,brush
00:01:27,(Question+bar-4),observation,0.0,bar-4,2,brush
00:01:30,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,2,pan
00:01:31,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,2,pan
00:01:39,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,2,pan
00:01:40,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,2,pan
00:01:43,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,2,zoom
00:01:44,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,2,zoom
00:01:46,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,2,pan
00:01:47,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,2,pan
00:01:48,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,2,pan
00:01:49,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,2,pan
00:01:50,(Sensemaking+bar-4),observation,0.25,bar-4,2,brush
00:01:54,(Sensemaking+bar-4),observation,0.25,bar-4,2,range select
00:02:22,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:02:23,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:02:27,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,pan
00:02:36,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,pan
00:02:37,(Sensemaking+scatterplot-0-1),generalization,0.0,scatterplot-0-1,2,pan
00:02:46,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:02:49,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:02:52,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
00:02:54,(Sensemaking+bar-4),generalization,0.0,bar-4,2,range select
