Time,State,action,reward,visualization,subtask
00:27:03,(Sensemaking+bar-4),brush,0.0,bar-4,1
00:27:03,(Question+bar-4),brush,0.0,bar-4,1
00:27:03,(Sensemaking+bar-2),brush,1.0,bar-2,1
00:27:03,(Question+bar-2),brush,0.0,bar-2,1
00:27:04,(Question+bar-2),range select,0.0,bar-2,2
00:27:18,(Sensemaking+bar-2),range select,1.0,bar-2,2
00:27:24,(Sensemaking+bar-2),range select,0.25,bar-2,2
00:27:26,(Sensemaking+bar-2),range select,0.25,bar-2,2
00:27:27,(Sensemaking+bar-2),range select,0.25,bar-2,2
00:27:28,(Sensemaking+bar-2),range select,1.0,bar-2,2
00:27:30,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:31,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:32,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:33,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:34,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:35,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:36,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:37,(Sensemaking+bar-2),brush,1.0,bar-2,2
00:27:38,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:39,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:46,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:47,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:48,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:49,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:50,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:51,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:52,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:53,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:54,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:27:56,(Question+bar-2),brush,0.0,bar-2,2
00:27:57,(Question+bar-2),brush,0.0,bar-2,2
00:27:58,(Question+bar-2),brush,0.0,bar-2,2
00:27:59,(Question+bar-2),brush,0.0,bar-2,2
00:28:00,(Question+bar-2),brush,0.0,bar-2,2
00:28:02,(Question+bar-2),brush,0.0,bar-2,2
00:28:03,(Question+bar-2),brush,0.0,bar-2,2
00:28:04,(Question+bar-2),brush,0.0,bar-2,2
00:28:05,(Question+bar-2),brush,0.0,bar-2,2
00:28:06,(Question+bar-2),brush,0.0,bar-2,2
00:28:07,(Question+bar-2),brush,0.0,bar-2,2
00:28:08,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:09,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:11,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:11,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:28:13,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:28:14,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:15,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:16,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:17,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:18,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:19,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:20,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:21,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:22,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:23,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:24,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:25,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:26,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:27,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:28,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:29,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:29,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:28:31,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:28:32,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:33,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:34,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:35,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:36,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:37,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:38,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:39,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:40,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:42,(Sensemaking+bar-2),brush,0.25,bar-2,2
00:28:42,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:29:06,(Sensemaking+bar-4),brush,0.25,bar-4,2
00:29:22,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:23,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:25,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:26,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:30,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:31,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:32,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:43,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:44,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:45,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:46,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:48,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:49,(Sensemaking+bar-4),brush,0.5,bar-4,2
00:29:53,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:54,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:56,(Sensemaking+bar-4),brush,0.0,bar-4,2
00:29:57,(Sensemaking+bar-4),brush,0.0,bar-4,2
