00:00, brush, bar-4
00:01, brush, bar-2
00:02, brush, bar-4
00:57, range select, bar-4
01:20, brush, bar-4
05:45, range select, bar-4
06:34, brush, bar-4
06:53, range select, bar-4
07:03, range select, scatterplot-0-1
07:12, pan, scatterplot-0-1
07:14, range select, scatterplot-0-1
07:37, brush, bar-4
07:53, brush, bar-2
07:53, brush, bar-4
07:57, range select, scatterplot-0-1
08:31, range select, bar-4
08:50, range select, scatterplot-0-1
10:06, brush, bar-4
10:06, brush, bar-2
13:31, brush, hist-3
14:25, brush, bar-4
14:49, brush, hist-3
14:58, brush, bar-4
15:01, pan, scatterplot-0-1
15:07, range select, scatterplot-0-1
17:33, zoom, scatterplot-0-1
17:35, pan, scatterplot-0-1
17:37, zoom, scatterplot-0-1
17:38, pan, scatterplot-0-1
17:43, zoom, scatterplot-0-1
19:14, range select, scatterplot-0-1
19:40, brush, bar-4
19:40, zoom, scatterplot-0-1
19:44, pan, scatterplot-0-1
19:48, range select, scatterplot-0-1
21:34, brush, bar-4
21:34, brush, bar-2
21:37, range select, bar-2
22:16, brush, hist-3
22:16, brush, bar-2
23:00, brush, hist-3
23:29, range select, hist-3
23:33, brush, hist-3
23:42, brush, bar-4
23:44, zoom, scatterplot-0-1
23:45, pan, scatterplot-0-1
23:48, zoom, scatterplot-0-1
23:49, pan, scatterplot-0-1
23:49, brush, bar-4
23:50, brush, hist-3
24:13, range select, hist-3
24:17, brush, hist-3
24:20, brush, bar-4
24:22, range select, scatterplot-0-1
25:04, zoom, scatterplot-0-1
25:06, pan, scatterplot-0-1
