00:00, pan, geo-0-1
01:41, zoom, geo-0-1
01:41, pan, geo-0-1
01:44, zoom, geo-0-1
01:44, pan, geo-0-1
01:54, zoom, geo-0-1
01:54, pan, geo-0-1
02:25, zoom, geo-0-1
02:25, pan, geo-0-1
02:29, range select, geo-0-1
03:17, pan, geo-0-1
03:43, zoom, geo-0-1
03:43, pan, geo-0-1
03:45, range select, geo-0-1
04:04, pan, geo-0-1
04:05, range select, geo-0-1
04:20, pan, geo-0-1
04:22, range select, geo-0-1
04:30, pan, geo-0-1
04:30, zoom, geo-0-1
04:30, pan, geo-0-1
04:32, zoom, geo-0-1
04:32, pan, geo-0-1
04:43, range select, geo-0-1
04:56, pan, geo-0-1
04:59, range select, geo-0-1
05:38, brush, hist-4
05:44, brush, hist-3
05:44, brush, hist-2
05:46, range select, geo-0-1
06:17, pan, geo-0-1
06:17, zoom, geo-0-1
06:17, pan, geo-0-1
06:22, range select, geo-0-1
06:33, brush, hist-4
06:34, range select, geo-0-1
07:06, brush, bar-5
07:11, pan, geo-0-1
07:11, zoom, geo-0-1
07:11, pan, geo-0-1
07:13, zoom, geo-0-1
07:13, pan, geo-0-1
07:14, zoom, geo-0-1
07:14, pan, geo-0-1
07:17, zoom, geo-0-1
07:17, pan, geo-0-1
07:18, zoom, geo-0-1
07:18, pan, geo-0-1
07:26, range select, geo-0-1
08:00, pan, geo-0-1
08:01, zoom, geo-0-1
08:01, pan, geo-0-1
08:01, zoom, geo-0-1
08:01, pan, geo-0-1
08:04, zoom, geo-0-1
08:04, pan, geo-0-1
08:06, zoom, geo-0-1
08:06, pan, geo-0-1
08:08, range select, geo-0-1
08:15, pan, geo-0-1
08:16, zoom, geo-0-1
08:16, pan, geo-0-1
08:16, zoom, geo-0-1
08:16, pan, geo-0-1
08:17, zoom, geo-0-1
08:17, pan, geo-0-1
08:17, zoom, geo-0-1
08:17, pan, geo-0-1
08:20, zoom, geo-0-1
08:20, pan, geo-0-1
08:21, zoom, geo-0-1
08:21, pan, geo-0-1
08:23, zoom, geo-0-1
08:23, pan, geo-0-1
08:24, zoom, geo-0-1
08:24, pan, geo-0-1
08:28, range select, geo-0-1
08:52, pan, geo-0-1
08:52, zoom, geo-0-1
08:52, pan, geo-0-1
08:53, zoom, geo-0-1
08:53, pan, geo-0-1
08:53, zoom, geo-0-1
08:53, pan, geo-0-1
08:54, zoom, geo-0-1
08:54, pan, geo-0-1
08:55, zoom, geo-0-1
08:55, pan, geo-0-1
08:55, zoom, geo-0-1
08:55, pan, geo-0-1
08:56, zoom, geo-0-1
08:56, pan, geo-0-1
08:57, zoom, geo-0-1
08:57, pan, geo-0-1
08:58, zoom, geo-0-1
08:58, pan, geo-0-1
08:59, zoom, geo-0-1
08:59, pan, geo-0-1
09:00, zoom, geo-0-1
09:00, pan, geo-0-1
09:02, zoom, geo-0-1
09:02, pan, geo-0-1
09:03, zoom, geo-0-1
09:03, pan, geo-0-1
09:04, zoom, geo-0-1
09:04, pan, geo-0-1
09:14, range select, geo-0-1
09:32, brush, hist-4
09:39, pan, geo-0-1
09:39, zoom, geo-0-1
09:39, pan, geo-0-1
09:40, zoom, geo-0-1
09:40, pan, geo-0-1
09:42, range select, geo-0-1
10:06, pan, geo-0-1
10:06, zoom, geo-0-1
10:06, pan, geo-0-1
10:07, zoom, geo-0-1
10:07, pan, geo-0-1
10:08, zoom, geo-0-1
10:08, pan, geo-0-1
10:09, zoom, geo-0-1
10:09, pan, geo-0-1
10:09, zoom, geo-0-1
10:09, pan, geo-0-1
10:10, zoom, geo-0-1
10:10, pan, geo-0-1
10:10, zoom, geo-0-1
10:10, pan, geo-0-1
10:13, range select, geo-0-1
10:40, pan, geo-0-1
10:52, range select, bar-5
10:57, pan, geo-0-1
11:02, range select, bar-5
11:05, pan, geo-0-1
11:05, zoom, geo-0-1
11:05, pan, geo-0-1
11:06, zoom, geo-0-1
11:06, pan, geo-0-1
11:11, range select, geo-0-1
11:14, brush, bar-5
11:15, range select, bar-5
11:28, pan, geo-0-1
11:29, zoom, geo-0-1
11:29, pan, geo-0-1
11:29, zoom, geo-0-1
11:29, pan, geo-0-1
11:30, range select, bar-5
11:36, range select, hist-2
11:41, brush, hist-2
