1379185489896, pan, geo-0-1
1379185510247, zoom, geo-0-1
1379185510254, pan, geo-0-1
1379185520420, zoom, geo-0-1
1379185520429, pan, geo-0-1
1379185537514, zoom, geo-0-1
1379185537520, pan, geo-0-1
1379185539718, zoom, geo-0-1
1379185539726, pan, geo-0-1
1379185543826, brush, bar-5
1379185545818, brush, hist-4
1379185588539, brush, hist-3
1379185596043, brush, hist-2
1379185600010, brush, hist-3
1379185601962, brush, hist-2
1379185615392, range select, hist-2
1379185618175, range select, bar-5
1379185621975, range select, hist-2
1379185645333, pan, geo-0-1
1379185675951, zoom, geo-0-1
1379185675960, pan, geo-0-1
1379185678058, zoom, geo-0-1
1379185678068, pan, geo-0-1
1379185684994, zoom, geo-0-1
1379185684999, pan, geo-0-1
1379185685992, zoom, geo-0-1
1379185686002, pan, geo-0-1
1379185693165, zoom, geo-0-1
1379185693174, pan, geo-0-1
1379185695756, zoom, geo-0-1
1379185695772, pan, geo-0-1
1379185698425, zoom, geo-0-1
1379185698433, pan, geo-0-1
1379185702622, zoom, geo-0-1
1379185702631, pan, geo-0-1
1379185704978, range select, geo-0-1
1379185734794, pan, geo-0-1
1379185734829, zoom, geo-0-1
1379185734845, pan, geo-0-1
1379185735985, zoom, geo-0-1
1379185735994, pan, geo-0-1
1379185738414, range select, geo-0-1
1379185744199, pan, geo-0-1
1379185745986, range select, geo-0-1
1379185763696, range select, bar-5
1379185766529, pan, geo-0-1
1379185766625, zoom, geo-0-1
1379185766866, pan, geo-0-1
1379185767734, zoom, geo-0-1
1379185767982, pan, geo-0-1
1379185768507, zoom, geo-0-1
1379185768513, pan, geo-0-1
1379185772291, zoom, geo-0-1
1379185772300, pan, geo-0-1
1379185773113, zoom, geo-0-1
1379185773125, pan, geo-0-1
1379185774670, zoom, geo-0-1
1379185774680, pan, geo-0-1
1379185775671, zoom, geo-0-1
1379185775678, pan, geo-0-1
1379185776909, zoom, geo-0-1
1379185776918, pan, geo-0-1
1379185787973, brush, bar-5
1379185790600, pan, geo-0-1
1379185800741, brush, hist-3
1379185801241, brush, hist-4
1379185805085, pan, geo-0-1
1379185806125, brush, hist-4
1379185813319, pan, geo-0-1
1379185813909, brush, hist-4
1379185818672, pan, geo-0-1
1379185821038, zoom, geo-0-1
1379185821051, pan, geo-0-1
1379185822833, zoom, geo-0-1
1379185822845, pan, geo-0-1
1379185825013, zoom, geo-0-1
1379185825022, pan, geo-0-1
1379185831095, range select, geo-0-1
1379185869843, pan, geo-0-1
1379185869924, zoom, geo-0-1
1379185869933, pan, geo-0-1
1379185870630, zoom, geo-0-1
1379185870642, pan, geo-0-1
1379185871280, zoom, geo-0-1
1379185871289, pan, geo-0-1
1379185877537, brush, hist-3
1379185882730, pan, geo-0-1
1379185885287, brush, hist-3
1379185886173, brush, hist-4
1379185903519, pan, geo-0-1
1379185903594, zoom, geo-0-1
1379185903606, pan, geo-0-1
1379185906808, brush, hist-4
1379185909084, pan, geo-0-1
1379185913197, range select, geo-0-1
1379185918635, pan, geo-0-1
1379185920680, range select, geo-0-1
1379185924911, brush, bar-5
1379185926933, pan, geo-0-1
1379185926992, zoom, geo-0-1
1379185926998, pan, geo-0-1
1379185928347, range select, geo-0-1
1379185942939, pan, geo-0-1
1379185946362, zoom, geo-0-1
1379185946371, pan, geo-0-1
1379185947157, zoom, geo-0-1
1379185947170, pan, geo-0-1
1379185949544, range select, geo-0-1
1379185956375, pan, geo-0-1
1379185956900, zoom, geo-0-1
1379185956910, pan, geo-0-1
1379185958254, zoom, geo-0-1
1379185958263, pan, geo-0-1
1379185958801, zoom, geo-0-1
1379185958814, pan, geo-0-1
1379185966016, zoom, geo-0-1
1379185966026, pan, geo-0-1
1379185968306, zoom, geo-0-1
