1377643361951, brush, bar-5
1377643362869, range select, bar-5
1377643394428, pan, geo-0-1
1377643415247, brush, bar-5
1377643416240, range select, bar-5
1377643419294, pan, geo-0-1
1377643451597, range select, bar-5
1377643474549, pan, geo-0-1
1377643502557, range select, bar-5
1377643537482, pan, geo-0-1
1377643543946, range select, bar-5
1377643571387, brush, bar-5
1377643572781, range select, bar-5
1377643584610, brush, bar-5
1377643597977, range select, bar-5
1377643645146, pan, geo-0-1
1377643676884, zoom, geo-0-1
1377643676894, pan, geo-0-1
1377643678900, zoom, geo-0-1
1377643678909, pan, geo-0-1
1377643697815, zoom, geo-0-1
1377643697828, pan, geo-0-1
1377643701499, zoom, geo-0-1
1377643701510, pan, geo-0-1
1377643703211, zoom, geo-0-1
1377643703220, pan, geo-0-1
1377643704176, zoom, geo-0-1
1377643704188, pan, geo-0-1
1377643708118, zoom, geo-0-1
1377643708140, pan, geo-0-1
1377643709800, zoom, geo-0-1
1377643709814, pan, geo-0-1
1377643711205, zoom, geo-0-1
1377643711214, pan, geo-0-1
1377643713260, zoom, geo-0-1
1377643713269, pan, geo-0-1
1377643713881, zoom, geo-0-1
1377643713889, pan, geo-0-1
1377643714426, zoom, geo-0-1
1377643714434, pan, geo-0-1
1377643719791, zoom, geo-0-1
1377643719796, pan, geo-0-1
1377643721584, zoom, geo-0-1
1377643721598, pan, geo-0-1
1377643723322, zoom, geo-0-1
1377643723334, pan, geo-0-1
1377643730612, zoom, geo-0-1
1377643730623, pan, geo-0-1
1377643747285, zoom, geo-0-1
1377643747295, pan, geo-0-1
1377643750088, zoom, geo-0-1
1377643750101, pan, geo-0-1
1377643751943, zoom, geo-0-1
1377643751952, pan, geo-0-1
1377643752496, zoom, geo-0-1
1377643752504, pan, geo-0-1
1377643757700, brush, bar-5
1377643757833, range select, bar-5
1377643762687, pan, geo-0-1
1377643764693, zoom, geo-0-1
1377643764982, pan, geo-0-1
1377643767032, zoom, geo-0-1
1377643767082, pan, geo-0-1
1377643769026, zoom, geo-0-1
1377643769116, pan, geo-0-1
1377643805781, zoom, geo-0-1
1377643805792, pan, geo-0-1
1377643817127, zoom, geo-0-1
1377643817216, pan, geo-0-1
1377643819558, brush, bar-5
1377643820707, range select, bar-5
1377643826320, pan, geo-0-1
1377643826354, zoom, geo-0-1
1377643826370, pan, geo-0-1
1377643851607, range select, bar-5
1377643858710, pan, geo-0-1
1377643873679, range select, bar-5
1377643875251, brush, hist-2
1377643875443, range select, hist-2
1377643878621, brush, hist-2
1377643878860, range select, hist-2
1377643880612, pan, geo-0-1
1377643885863, range select, hist-2
1377643895804, brush, hist-2
1377643896041, range select, hist-2
1377643963681, brush, hist-2
1377643963889, range select, hist-2
1377644020577, range select, bar-5
1377644021690, brush, bar-5
1377644022201, range select, bar-5
1377644028794, range select, hist-2
1377644030489, range select, bar-5
1377644033264, range select, hist-2
1377644145307, pan, geo-0-1
1377644151241, range select, geo-0-1
1377644161280, brush, hist-4
1377644167862, pan, geo-0-1
1377644170840, zoom, geo-0-1
1377644170847, pan, geo-0-1
1377644172184, zoom, geo-0-1
1377644172192, pan, geo-0-1
1377644180315, zoom, geo-0-1
1377644180330, pan, geo-0-1
1377644193228, range select, geo-0-1
1377644299843, pan, geo-0-1
1377644299947, zoom, geo-0-1
1377644299959, pan, geo-0-1
1377644300808, zoom, geo-0-1
1377644300817, pan, geo-0-1
1377644304790, range select, geo-0-1
1377644310131, pan, geo-0-1
1377644310232, zoom, geo-0-1
1377644310251, pan, geo-0-1
1377644310892, zoom, geo-0-1
1377644310905, pan, geo-0-1
1377644315769, range select, geo-0-1
1377644326963, pan, geo-0-1
1377644336400, zoom, geo-0-1
1377644336408, pan, geo-0-1
1377644336906, zoom, geo-0-1
1377644336915, pan, geo-0-1
1377644368764, range select, geo-0-1
1377644391007, pan, geo-0-1
1377644393383, zoom, geo-0-1
1377644393403, pan, geo-0-1
1377644395406, zoom, geo-0-1
1377644395420, pan, geo-0-1
1377644397775, zoom, geo-0-1
1377644397784, pan, geo-0-1
1377644400183, range select, geo-0-1
1377644414430, pan, geo-0-1
1377644414526, zoom, geo-0-1
1377644414534, pan, geo-0-1
1377644415060, zoom, geo-0-1
1377644415071, pan, geo-0-1
1377644415928, zoom, geo-0-1
1377644415936, pan, geo-0-1
1377644424518, brush, bar-5
1377644425419, brush, hist-4
1377644426931, pan, geo-0-1
1377644428891, zoom, geo-0-1
1377644428899, pan, geo-0-1
