['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '0', 'Question']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '5', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '4', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '-2', '3', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '3', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '4', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '10', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:42', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '-2', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-2', '1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-18', '1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-8', '1', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-11', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p4', '00:22:43', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-2', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-10', '-2', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-14', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-14', '-2', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-13', '-2', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-12', '-3', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-24', '-5', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-4', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-13', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-4', '-2', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-7', '-4', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-9', '-6', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-3', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '3', '1', 'Exploration']
['p4', '00:22:44', 'pan', 'geo-0-1', '6', '2', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '11', '2', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '15', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '34', '4', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '11', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '8', '1', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '16', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '10', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p4', '00:22:45', 'pan', 'geo-0-1', '9', '0', 'Exploration']
