['p4', '00:38:21', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:21', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:21', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:21', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:22', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:23', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:24', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:24', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:24', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:26', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:26', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-7-7-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-6-6-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-5-5-0_', 'Question']
['p4', '00:38:27', 'brush', 'hist-2', '2-4-4-0_', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-3-3-0_', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-2-2-0_', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-1-1-0_', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p4', '00:38:28', 'clear', 'undefined', 'undefined', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-0-0-0_', 'Question']
['p4', '00:38:28', 'brush', 'hist-2', '2-1-1-0_', 'Question']
