['p5', '00:00:00', 'clear', 'undefined', 'undefined', 'Question']
['p5', '00:00:00', 'brush', 'bar-5', '5-0-0-1_', 'Question']
['p5', '00:00:00', 'brush', 'bar-5', '5-1-1-1_', 'Question']
['p5', '00:00:00', 'brush', 'bar-5', '5-0-0-1_', 'Question']
['p5', '00:00:01', 'range select', 'bar-5', '5-0-0-1_', 'Question']
['p5', '00:00:15', 'range select', 'bar-5', '5-3-3-1_', 'Question']
['p5', '00:00:17', 'range select', 'bar-5', '5-1-1-1_', 'Sensemaking']
['p5', '00:00:25', 'repaintBg', 'log scale', 'true', 'Sensemaking']
['p5', '00:00:25', 'repaintFg', 'log scale', 'true', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '-4', '1', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '-7', '2', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '-1', '3', 'Sensemaking']
['p5', '00:00:32', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:00:33', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:00:33', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '2', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '4', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '9', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '7', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '-1', '13', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '-1', '3', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '3', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '1', 'Question']
['p5', '00:00:49', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '2', '-7', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '1', '-5', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '1', '-4', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '1', '-9', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '-6', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '1', '-3', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '-2', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p5', '00:00:50', 'pan', 'geo-0-1', '0', '0', 'Question']
