['p5', '00:10:17', 'range select', 'hist-2', '2-4-6-0_', 'Question']
['p5', '00:10:17', 'range select', 'hist-2', '2-4-7-0_', 'Question']
['p5', '00:10:17', 'range select', 'hist-2', '2-4-8-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-4-7-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-4-6-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-4-5-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-4-4-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-3-4-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-1-4-0_', 'Question']
['p5', '00:10:18', 'range select', 'hist-2', '2-0-4-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-2-4-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-3-4-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-5-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-6-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-7-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-8-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-9-0_', 'Question']
['p5', '00:10:20', 'range select', 'hist-2', '2-4-8-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-7-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-6-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-3-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-2-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-1-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-0-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-1-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-3-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-5-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-8-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-9-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-12-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-10-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-9-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-7-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-6-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-4-4-0_', 'Question']
['p5', '00:10:21', 'range select', 'hist-2', '2-3-4-0_', 'Question']
['p5', '00:10:22', 'range select', 'hist-2', '2-2-4-0_', 'Question']
['p5', '00:10:22', 'range select', 'hist-2', '2-1-4-0_', 'Question']
['p5', '00:10:22', 'range select', 'hist-2', '2-2-4-0_', 'Question']
['p5', '00:10:22', 'range select', 'hist-2', '2-4-4-0_', 'Question']
