['p8', '00:34:19', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p8', '00:34:21', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p8', '00:34:21', 'brush', 'hist-2', '2-8-8-0_', 'Question']
['p8', '00:34:22', 'brush', 'hist-2', '2-9-9-0_', 'Question']
['p8', '00:34:22', 'clear', 'undefined', 'undefined', 'Question']
['p8', '00:34:22', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '00:34:23', 'brush', 'hist-3', '3-2-2-0_', 'Question']
['p8', '00:34:23', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p8', '00:34:23', 'brush', 'hist-3', '3-6-6-0_', 'Question']
['p8', '00:34:23', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p8', '00:34:23', 'brush', 'hist-3', '3-12-12-0_', 'Question']
['p8', '00:34:23', 'clear', 'undefined', 'undefined', 'Question']
['p8', '00:34:24', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '00:34:24', 'pan', 'geo-0-1', '-2', '-1', 'Question']
['p8', '00:34:24', 'pan', 'geo-0-1', '-1', '-1', 'Question']
['p8', '00:34:24', 'pan', 'geo-0-1', '-2', '-1', 'Question']
['p8', '00:34:24', 'pan', 'geo-0-1', '-3', '-1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-1', '-2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-12', '-7', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-16', '-8', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-10', '-7', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-7', '-3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-1', '-1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-4', '-3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '0', '-1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-2', '-1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '-1', '-1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '0', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '4', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '5', '5', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '4', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '4', '4', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '4', '3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '3', '2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '3', '3', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '6', '6', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '2', '2', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '0', '1', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '1', '0', 'Question']
['p8', '00:34:25', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '00:34:27', 'pan', 'geo-0-1', '-359', '245', 'Question']
['p8', '00:34:28', 'zoom', 'geo-0-1', '3', 'Question']
['p8', '00:34:28', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-3x1-512-767-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-3x1-512-767-3x5-0-29-1', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-0-255-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-256-511-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-512-767-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-768-1023-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1280-1535-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'tile cached', 'undefined', '0-1024-1279-4x1-1024-1279-4x4-0-23-0', 'Question']
['p8', '00:34:28', 'pan', 'geo-0-1', '314', '462', 'Question']
['p8', '00:34:29', 'zoom', 'geo-0-1', '4', 'Question']
['p8', '00:34:29', 'pan', 'geo-0-1', '0', '0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x2-0-11-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x2-0-11-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x2-0-11-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x3-0-30-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x3-0-30-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x3-0-30-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Question']
['p8', '00:34:29', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x5-0-29-1', 'Question']
