['p8', '00:57:06', 'brush', 'hist-2', '2-8-8-0_', 'Exploration']
['p8', '00:57:06', 'brush', 'hist-2', '2-6-6-0_', 'Exploration']
['p8', '00:57:06', 'brush', 'hist-2', '2-5-5-0_', 'Exploration']
['p8', '00:57:06', 'brush', 'hist-2', '2-3-3-0_', 'Exploration']
['p8', '00:57:06', 'brush', 'hist-2', '2-0-0-0_', 'Exploration']
['p8', '00:57:06', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:07', 'brush', 'hist-2', '2-0-0-0_', 'Exploration']
['p8', '00:57:09', 'brush', 'hist-2', '2-1-1-0_', 'Exploration']
['p8', '00:57:09', 'brush', 'hist-2', '2-0-0-0_', 'Exploration']
['p8', '00:57:09', 'brush', 'hist-2', '2-1-1-0_', 'Exploration']
['p8', '00:57:10', 'brush', 'hist-2', '2-2-2-0_', 'Exploration']
['p8', '00:57:11', 'brush', 'hist-2', '2-3-3-0_', 'Exploration']
['p8', '00:57:11', 'brush', 'hist-2', '2-4-4-0_', 'Exploration']
['p8', '00:57:11', 'brush', 'hist-2', '2-5-5-0_', 'Exploration']
['p8', '00:57:12', 'brush', 'hist-2', '2-6-6-0_', 'Exploration']
['p8', '00:57:12', 'brush', 'hist-2', '2-7-7-0_', 'Exploration']
['p8', '00:57:13', 'brush', 'hist-2', '2-6-6-0_', 'Exploration']
['p8', '00:57:14', 'brush', 'hist-2', '2-7-7-0_', 'Exploration']
['p8', '00:57:15', 'brush', 'hist-2', '2-8-8-0_', 'Exploration']
['p8', '00:57:15', 'brush', 'hist-2', '2-9-9-0_', 'Exploration']
['p8', '00:57:16', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '00:57:17', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:19', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:19', 'brush', 'hist-3', '3-2-2-0_', 'Exploration']
['p8', '00:57:19', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:22', 'pan', 'geo-0-1', '281', '289', 'Exploration']
['p8', '00:57:22', 'zoom', 'geo-0-1', '3', 'Exploration']
['p8', '00:57:22', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:57:24', 'pan', 'geo-0-1', '-281', '-289', 'Exploration']
['p8', '00:57:24', 'zoom', 'geo-0-1', '2', 'Exploration']
['p8', '00:57:24', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p8', '00:57:26', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-3', '3-5-5-0_', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-3', '3-2-2-0_', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-3', '3-1-1-0_', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-3', '3-0-0-0_', 'Exploration']
['p8', '00:57:26', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '00:57:26', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:29', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '00:57:30', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:33', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '00:57:34', 'brush', 'hist-2', '2-9-9-0_', 'Exploration']
['p8', '00:57:36', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '00:57:36', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:37', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '00:57:37', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:57:37', 'brush', 'hist-2', '2-12-12-0_', 'Exploration']
['p8', '00:57:37', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:37', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p8', '00:57:38', 'brush', 'hist-2', '2-11-11-0_', 'Exploration']
['p8', '00:57:38', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:58:13', 'brush', 'hist-4', '4-23-23-0_', 'Exploration']
['p8', '00:58:13', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:58:18', 'brush', 'bar-5', '5-29-29-1_', 'Exploration']
['p8', '00:58:18', 'brush', 'bar-5', '5-28-28-1_', 'Exploration']
['p8', '00:58:18', 'brush', 'bar-5', '5-27-27-1_', 'Exploration']
['p8', '00:58:18', 'brush', 'bar-5', '5-25-25-1_', 'Exploration']
['p8', '00:58:18', 'clear', 'undefined', 'undefined', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-0-0-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-1-1-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-2-2-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-3-3-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-4-4-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-5-5-1_', 'Exploration']
['p8', '00:58:24', 'brush', 'bar-5', '5-6-6-1_', 'Exploration']
['p8', '00:58:29', 'brush', 'bar-5', '5-7-7-1_', 'Question']
['p8', '00:58:30', 'brush', 'bar-5', '5-6-6-1_', 'Question']
['p8', '00:58:31', 'brush', 'bar-5', '5-5-5-1_', 'Question']
['p8', '00:58:33', 'brush', 'bar-5', '5-6-6-1_', 'Question']
['p8', '00:58:33', 'brush', 'bar-5', '5-7-7-1_', 'Question']
['p8', '00:58:34', 'brush', 'bar-5', '5-8-8-1_', 'Question']
['p8', '00:58:34', 'brush', 'bar-5', '5-9-9-1_', 'Question']
['p8', '00:58:34', 'brush', 'bar-5', '5-10-10-1_', 'Question']
['p8', '00:58:34', 'clear', 'undefined', 'undefined', 'Question']
['p8', '00:58:35', 'brush', 'hist-3', '3-14-14-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-3', '3-9-9-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-3', '3-4-4-0_', 'Question']
['p8', '00:58:35', 'brush', 'hist-3', '3-0-0-0_', 'Question']
['p8', '00:58:35', 'clear', 'undefined', 'undefined', 'Question']
